YRMON MADV MSALES 
2608 193609 242086 
2609 155721 278355 
2610 221819 269267 
2611 225788 233483 
2612  26791 164383 
3701  52400 143000 
3702  44800 113100 
3703   2300 123100 
3704   2200 115000 
3705   2500  90100 
3706   8800  88000 
3707  15100  84400 
3708  62000  99800 
3709 113100 114900 
3710 106700 114600 
3711  91200 102000 
3712  60800  78200 
3801  78000 108500 
3802  83900 123000 
3803  95300 149800 
3804  88400 136500 
3805  47300 127400 
3806  32300 100300 
3807  23400  94500 
3808  45600 111100 
3809  73800 133800 
3810  85500 158900 
3811  65500 138800 
3812  26000  90000 
3901  60600 124000 
3902  77800 115600 
3903  76300 143300 
3904 113100 135500 
3905  66000 130700 
3906  46200 102700 
3907  25100 103100 
3908  27800 107900 
3909  90100 117900 
3910  90100 138900 
3911  45800 111000 
3912  29800  92800 
4001  55500 117800 
4002   6000 119100 
4003  97800 124800 
4004  90000 164100 
4005  75100 172200 
4006  74300 136400 
4007  53900 143600 
4008  54800 146900 
4009  98100 171000 
4010 113500 181000 
4011  75200 159000 
4012  68200 131700 
4101  50900 194000 
4102  68800 150300 
4103 125400 183900 
4104 145900 194700 
4105  94300 180100 
4106  47200 173000 
4107  43200 163300 
4108  45500 172300 
4109 123400 202100 
4110 128600 223300 
4111  85800 170000 
4112  75000 154200 
4201  61600 171800 
4202  46700 171800 
4203 145600 195300 
4204 158400 195700 
4205 141700 190200 
4206  80100 201900 
4207  45100 200000 
4208  64200 199900 
4209 110100 208700 
4210 108100 225700 
4211  79600 205800 
4212  12400 169400 
4301  41600 182100 
4302  43400 188300 
4303 111400 207400 
4304  99500 202100 
4305  66200 186400 
4306  69400 190800 
4307 108400 216000 
4308 148800 242200 
4309 150300 249700 
4310 158800 263700 
4311 144000 256100 
4312  22600 217300 
4401  20100 221600 
4402  97900 179200 
4403 115900 205100 
4404 113400 194400 
4405  82900 211500 
4406  73900 196100 
4407  99600 213800 
4408 100300 215100 
4409 108500 233200 
4410 171000 275800 
4411  88400 237000 
4412  29700 135500 
4501  75000 274300 
4502  97200 220800 
4503 125300 261800 
4504 146400 243400 
4505  77500 214700 
4506  70300 193200 
4507  68300 238400 
4508  76500 217800 
4509 135600 189300 
4510 155800 254900 
4511  97300 183500 
4512  19800 144600 
4601  79300 226900 
4602  67200 167500 
4603 107700 194500 
4604 118700 175500 
4605  64500 185900 
4606  46800 155900 
4607  78800 191100 
4608  98200 195300 
4609 146900 211300 
4610 169100 211700 
4611  31000 146600 
4612   3300 114800 
4701  87000 161800 
4702  88300 161700 
4703 115000 168600 
4704  78700 149300 
4705  50300 138300 
4706  48400 161900 
4707  62600 162400 
4708  77500 163200 
4709  75600 186200 
4710  94400 225600 
4711  48800 138300 
4712   9900 102700 
4801 122900 181000 
4802  97300 171400 
4803  77200 166700 
4804  72400 160200 
4805  44900 133600 
4806  73400 141500 
4807  74400 162400 
4808  75600 172600 
4809  96300 179700 
4810  97700 172300 
4811  98200 146500 
4812  10300 121700 
4901 102700 160700 
4902 101900 165500 
4903 107400 193500 
4904  90900 165200 
4905  74300 163800 
4906  70300 142300 
4907  38100 148700 
4908 121900 170900 
4909 125200 188400 
4910 108100 213600 
4911  23000 146400 
4912  17600 125400 
5001 122600 148500 
5002 117600 170500 
5003 105500 183600 
5004  76500 160500 
5005  67700 151500 
5006  10200 137500 
5007  29200 133200 
5008 105200 143600 
5009 107800 149300 
5010 105400 168400 
5011 116900 131300 
5012   9800 108700 
5101  75800 146600 
5102 117600 133500 
5103 147000 171100 
5104  51300 150600 
5105  12500 130200 
5106   9500 113300 
5107  10600 120100 
5108 107200 129800 
5109  71800 148100 
5110 134400 186000 
5111  22200 142600 
5112   5700 116800 
5201 114700 151800 
5202 132100 165800 
5203 122200 177600 
5204 111000 161100 
5205  60500 160100 
5206   4400 142000 
5207   5000 141100 
5208  49700 135200 
5209 108900 172900 
5210 130400 174600 
5211  64100 146400 
5212  16900 137100 
5301 107200 164600 
5302 119300 162200 
5303 127200 187700 
5304 127200 166100 
5305  64800 162600 
5306  10900 148800 
5307  51100 138700 
5308 107500 164700 
5309 119800 169700 
5310 105400 173700 
5311  21100 145400 
5312   2500 111500 
5401 128000 129500 
5402 135000 131800 
5403  98200 172800 
5404  91900 153900 
5405   8700 132400 
5406   3900 126400 
5407   7200 116900 
5408  46700 147900 
5409 117000 163100 
5410  91700 154600 
5411  70100 145900 
5412  12800 108700 
5501 101400 117100 
5502 127400 140600 
5503 138800 161900 
5504 107100 150800 
5505  53700 152100 
5506  12300 134100 
5507   6000 124700 
5508  35100 126200 
5509 106100 141900 
5510  79100 155800 
5511  13800 122200 
5512   7700 105300 
5601 100000 124200 
5602 118200 136100 
5603 122500 166000 
5604  93600 171700 
5605  62500 137100 
5606   6000 129300 
5607   6100 128500 
5608  16900 121000 
5609  94600 114200 
5610 130600 158600 
5611  42600 144100 
5612   8800 126200 
5701 110400 126700 
5702 109300 127800 
5703 108000 154400 
5704 101200 153400 
5705  74500 133200 
5706   7800 120000 
5707   6600 131400 
5708   9400 118000 
5709  77400 126400 
5710  97100 131800 
5711  53600 101800 
5712  15000 143800 
5801  58000  77200 
5802 112100  90200 
5803  97400 126500 
5804 100200 122900 
5805  13800 131800 
5806   7200 119500 
5807   5900 110500 
5808  27000 109500 
5809  98600 129800 
5810  67300 148200 
5811  30400 116300 
5812  20900 107200 
5901  83800 105200 
5902  99400 110200 
5903 102000 135500 
5904  86500 132300 
5905  81900 129600 
5906   8300 112700 
5907   5600 117000 
5908  22400 105900 
5909  88100 111600 
5910  43600 121400 
5911  16000  96600 
5912   6800 108900 
6001  74900  91400 
6002  85700 108700 
6003  89800 118000 
6004  70500 116700 
6005  48900 121000 
6006   5900 109200 

