cartime,carcost,traintime,traincost,choice
45,50,77,57,CAR
20,40,95,42,CAR
60,99,73,31,TRAIN
45,99,72,31,TRAIN
45,99,73,31,TRAIN
70,50,67,36,TRAIN
20,50,78,41,CAR
25,70,68,34,CAR
40,50,65,59,CAR
25,20,64,41,CAR
40,50,77,52,CAR
75,72,65,36,TRAIN
55,50,63,33,TRAIN
50,70,99,33,TRAIN
75,60,75,31,TRAIN
95,70,70,31,TRAIN
22,20,70,32,CAR
48,100,90,67,CAR
35,75,85,65,CAR
60,40,72,33,CAR
47,55,67,26,TRAIN
53,72,68,26,TRAIN
62,92,60,32,TRAIN
55,76,75,26,CAR
30,50,72,72,CAR
25,15,50,42,CAR
25,30,47,15,CAR
60,68,64,50,CAR
60,30,99,58,CAR
60,110,63,30,TRAIN
53,60,59,25,TRAIN
30,50,70,80,CAR
25,25,78,50,CAR
60,30,80,55,CAR
25,30,70,65,CAR
55,60,7,32,CAR
70,70,65,33,CAR
50,50,55,35,CAR
45,50,60,28,CAR
30,64,70,26,TRAIN
30,64,66,37,CAR
70,60,70,26,TRAIN
60,53,69,26,TRAIN
30,40,65,26,TRAIN
35,50,112,60,CAR
60,60,76,31,TRAIN
50,40,66,26,TRAIN
65,60,60,52,CAR
60,60,80,26,TRAIN
47,56,75,54,CAR
50,99,72,38,TRAIN
85,40,69,31,TRAIN
65,50,63,36,TRAIN
43,60,112,46,TRAIN
70,99,90,40,TRAIN
38,30,53,30,TRAIN
46,136,70,30,TRAIN
70,84,75,38,TRAIN
15,26,32,20,CAR
45,36,94,44,CAR
70,59,76,30,TRAIN
30,40,50,48,CAR
50,10,45,38,CAR
46,180,73,29,TRAIN
10,20,37,26,CAR
40,114,76,44,TRAIN
55,80,68,28,TRAIN
45,72,80,56,TRAIN
20,20,38,14,CAR
60,60,53,37,CAR
60,99,74,33,TRAIN
55,68,70,30,CAR
65,90,55,26,TRAIN
45,68,84,48,TRAIN
37,60,75,60,CAR
70,148,75,26,TRAIN
40,80,55,26,TRAIN
25,20,22,25,CAR
35,25,85,59,CAR
35,45,73,55,CAR
12,9,18,10,CAR
45,40,85,58,CAR
23,30,100,25,CAR
30,25,55,25,CAR
37,30,57,60,CAR
35,20,60,26,TRAIN
60,60,53,38,TRAIN
65,68,76,43,TRAIN
30,50,57,22,TRAIN
65,85,73,32,TRAIN
40,145,73,26,TRAIN
70,50,53,25,TRAIN
70,75,128,50,TRAIN
65,40,56,33,CAR
50,68,77,40,CAR
60,152,65,50,CAR
95,75,72,28,TRAIN
50,75,62,26,TRAIN
13,37,56,30,CAR
70,60,97,38,TRAIN
65,15,62,36,CAR
35,40,75,35,CAR
55,30,80,50,CAR
35,30,57,43,CAR
40,40,50,20,CAR
35,52,45,40,CAR
34,40,70,32,CAR
50,143,61,26,TRAIN
80,99,66,27,TRAIN
13,15,26,9,CAR
50,30,54,26,TRAIN
25,30,45,28,CAR
33,32,37,31,CAR
55,68,60,25,TRAIN
45,60,77,40,TRAIN
30,48,43,41,CAR
35,40,94,80,CAR
63,72,90,50,CAR
70,60,78,26,TRAIN
20,20,45,30,CAR
91,48,102,65,CAR
55,80,53,26,TRAIN
40,30,125,45,CAR
40,60,47,41,TRAIN
65,150,70,36,TRAIN
50,150,70,38,TRAIN
37,40,76,39,TRAIN
60,50,62,58,CAR
62,68,69,44,CAR
26,20,48,37,CAR
55,75,66,36,TRAIN
60,60,79,40,TRAIN
20,20,71,42,CAR
30,30,69,77,CAR
25,30,60,37,CAR
35,30,69,58,TRAIN
45,60,40,29,TRAIN
37,30,71,42,CAR
60,74,75,33,TRAIN
43,40,50,38,CAR
15,15,50,40,CAR
28,25,90,52,CAR
70,150,62,36,TRAIN
17,28,73,52,CAR
45,65,60,31,TRAIN
45,63,71,61,CAR
55,84,68,14,TRAIN
60,60,82,36,TRAIN
60,40,72,20,TRAIN
35,72,72,75,CAR
51,138,62,37,TRAIN
68,76,62,32,TRAIN
22,46,77,32,CAR
15,24,20,14,CAR
58,60,82,38,TRAIN
40,30,70,55,CAR
70,71,81,38,TRAIN
30,25,43,34,CAR
15,35,38,32,CAR
80,84,67,36,TRAIN
50,25,68,55,CAR
45,40,65,48,CAR
45,65,80,41,TRAIN
70,70,83,22,TRAIN
61,65,57,35,TRAIN
60,78,75,60,CAR
70,74,57,36,TRAIN
75,50,76,38,TRAIN
30,50,42,30,TRAIN
60,82,80,33,CAR
40,50,80,33,TRAIN
30,30,75,54,CAR
30,48,85,57,CAR
55,78,78,36,CAR
30,40,72,46,CAR
75,140,80,55,CAR
60,74,72,36,TRAIN
46,67,77,55,CAR
70,64,60,35,TRAIN
52,160,80,30,TRAIN
40,56,60,49,CAR
60,144,66,38,TRAIN
30,20,59,40,CAR
15,28,48,32,CAR
30,36,32,24,TRAIN
70,35,67,55,CAR
85,134,67,40,TRAIN
60,72,60,41,TRAIN
65,60,65,31,TRAIN
40,50,91,71,CAR
50,64,70,53,CAR
75,154,60,34,TRAIN
30,48,60,47,CAR
60,180,64,33,TRAIN
60,80,75,36,TRAIN
68,30,65,26,TRAIN
65,88,76,41,TRAIN
65,60,73,26,TRAIN
37,40,57,26,TRAIN
45,35,65,35,TRAIN
65,137,73,33,TRAIN
60,145,54,36,TRAIN
55,140,74,36,TRAIN
60,100,50,36,TRAIN
65,50,100,50,CAR
50,140,85,63,CAR
75,72,63,30,TRAIN
35,30,48,29,TRAIN
15,24,28,25,CAR
53,56,42,26,TRAIN
25,60,65,31,CAR
45,54,67,33,CAR
25,28,48,39,CAR
27,50,52,40,CAR
25,25,63,80,CAR
50,50,80,50,CAR
25,25,39,20,CAR
35,64,95,40,CAR
