month,day,attend,day_of_week,opponent,temp,skies,day_night,cap,shirt,fireworks,bobblehead
JUL,31,52832,Tuesday,Snakes,75,Cloudy,Night,NO,NO,NO,YES
AUG,1,36596,Wednesday,Snakes,79,Clear ,Day,NO,NO,NO,NO
AUG,3,43537,Friday,Cubs,73,Clear ,Night,NO,NO,YES,NO
AUG,4,46588,Saturday,Cubs,73,Cloudy,Night,NO,NO,NO,NO
AUG,5,42495,Sunday,Cubs,83,Clear ,Day,YES,NO,NO,NO
AUG,6,32659,Monday,Rockies,79,Clear ,Night,NO,NO,NO,NO
AUG,7,55024,Tuesday,Rockies,80,Clear ,Night,NO,NO,NO,YES
AUG,8,37084,Wednesday,Rockies,84,Clear ,Night,NO,NO,NO,NO
AUG,20,36878,Monday,Giants,80,Clear ,Night,NO,NO,NO,NO
AUG,21,56000,Tuesday,Giants,75,Clear ,Night,NO,NO,NO,YES
AUG,22,40173,Wednesday,Giants,75,Clear ,Night,NO,NO,NO,NO
AUG,24,39805,Friday,Marlins,71,Clear ,Night,NO,NO,YES,NO
AUG,25,40284,Saturday,Marlins,70,Clear ,Night,NO,NO,NO,NO
AUG,26,41907,Sunday,Marlins,81,Clear ,Day,NO,NO,NO,NO
AUG,30,54621,Thursday,Snakes,80,Clear ,Night,NO,NO,NO,YES
AUG,31,37622,Friday,Snakes,77,Clear ,Night,NO,NO,YES,NO
SEP,1,35992,Saturday,Snakes,81,Clear ,Night,NO,NO,NO,NO
SEP,2,31607,Sunday,Snakes,89,Clear ,Day,NO,NO,NO,NO
SEP,3,33540,Monday,Padres,84,Cloudy,Night,NO,NO,NO,NO
SEP,4,40619,Tuesday,Padres,78,Clear ,Night,NO,YES,NO,NO
SEP,5,50560,Wednesday,Padres,77,Cloudy,Night,NO,NO,NO,NO
SEP,13,43309,Thursday,Cardinals,80,Clear ,Night,NO,NO,NO,NO
SEP,14,40167,Friday,Cardinals,85,Clear ,Night,NO,NO,YES,NO
SEP,15,42449,Saturday,Cardinals,95,Clear ,Night,NO,NO,NO,NO
SEP,16,35754,Sunday,Cardinals,86,Clear ,Day,NO,NO,NO,NO
SEP,28,37133,Friday,Rockies,77,Clear ,Night,NO,NO,YES,NO
SEP,29,40724,Saturday,Rockies,84,Cloudy,Night,NO,NO,NO,NO
SEP,30,35607,Sunday,Rockies,95,Clear ,Day,NO,NO,NO,NO
OCT,1,33624,Monday,Giants,86,Clear ,Night,NO,NO,NO,NO
OCT,2,42473,Tuesday,Giants,83,Clear ,Night,NO,NO,NO,NO
OCT,3,34014,Wednesday,Giants,82,Cloudy,Night,NO,NO,NO,NO
