year,home_team,month,day,attend,day_of_week,opponent,temp,skies,day_night,cap,shirt,fireworks,bobblehead
2012,Boston Red Sox,JUN,22,37281,Friday,Atlanta Braves,74,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,JUN,23,37782,Saturday,Atlanta Braves,65,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,JUN,24,37565,Sunday,Atlanta Braves,82,Clear,Day,NO,NO,NO,NO
2012,Boston Red Sox,JUN,25,37208,Monday,Toronto Blue Jays,72,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,JUN,26,37755,Tuesday,Toronto Blue Jays,69,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,JUN,27,37744,Wednesday,Toronto Blue Jays,75,Cloudy,Day,NO,NO,NO,NO
2012,Boston Red Sox,JUL,6,38066,Friday,New York Yankees,81,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,JUL,7,38170,Saturday,New York Yankees,85,Cloudy,Day,NO,NO,NO,NO
2012,Boston Red Sox,JUL,7,37791,Saturday,New York Yankees,86,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,JUL,8,38270,Sunday,New York Yankees,87,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,JUL,16,38334,Monday,Chicago White Sox,79,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,JUL,17,37771,Tuesday,Chicago White Sox,89,Clear,Night,NO,NO,NO,NO
2012,Boston Red Sox,JUL,18,37367,Wednesday,Chicago White Sox,73,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,JUL,19,38413,Thursday,Chicago White Sox,75,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,JUL,20,38093,Friday,Toronto Blue Jays,69,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,JUL,21,38170,Saturday,Toronto Blue Jays,72,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,JUL,22,37737,Sunday,Toronto Blue Jays,84,Cloudy,Day,NO,NO,NO,NO
2012,Boston Red Sox,JUL,30,37784,Monday,Detroit Tigers,79,Clear,Night,NO,NO,NO,NO
2012,Boston Red Sox,JUL,31,37275,Tuesday,Detroit Tigers,68,Rainy,Night,NO,NO,NO,NO
2012,Boston Red Sox,AUG,1,37213,Wednesday,Detroit Tigers,75,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,AUG,2,37191,Thursday,Minnesota Twins,84,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,AUG,3,37285,Friday,Minnesota Twins,88,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,AUG,4,37914,Saturday,Minnesota Twins,79,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,AUG,5,37019,Sunday,Minnesota Twins,89,Cloudy,Day,NO,NO,NO,NO
2012,Boston Red Sox,AUG,6,37316,Monday,Texas Rangers,79,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,AUG,7,38416,Tuesday,Texas Rangers,75,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,AUG,8,37716,Wednesday,Texas Rangers,85,Cloudy,Day,NO,NO,NO,NO
2012,Boston Red Sox,AUG,21,37794,Tuesday,Los Angeles Angels,79,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,AUG,22,37373,Wednesday,Los Angeles Angels,74,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,AUG,23,37829,Thursday,Los Angeles Angels,84,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,AUG,24,37228,Friday,Kansas City Royals,74,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,AUG,25,37103,Saturday,Kansas City Royals,73,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,AUG,26,37188,Sunday,Kansas City Royals,76,Clear,Day,NO,NO,NO,NO
2012,Boston Red Sox,AUG,27,37506,Monday,Kansas City Royals,84,Clear,Day,NO,NO,NO,NO
2012,Boston Red Sox,SEP,7,37156,Friday,Toronto Blue Jays,77,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,SEP,8,37107,Saturday,Toronto Blue Jays,77,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,SEP,9,37226,Sunday,Toronto Blue Jays,67,Cloudy,Day,NO,NO,NO,NO
2012,Boston Red Sox,SEP,11,37437,Tuesday,New York Yankees,73,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,SEP,12,37230,Wednesday,New York Yankees,68,Clear,Night,NO,NO,NO,NO
2012,Boston Red Sox,SEP,13,38134,Thursday,New York Yankees,79,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,SEP,21,37731,Friday,Baltimore Orioles,60,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,SEP,22,37570,Saturday,Baltimore Orioles,63,Cloudy,Day,NO,NO,NO,NO
2012,Boston Red Sox,SEP,23,37310,Sunday,Baltimore Orioles,70,Cloudy,Day,NO,NO,NO,NO
2012,Boston Red Sox,SEP,25,37045,Tuesday,Tampa Bay Rays,66,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,SEP,26,37247,Wednesday,Tampa Bay Rays,71,Cloudy,Night,NO,NO,NO,NO
2012,Chicago White Sox,APR,13,38676,Friday,Detroit Tigers,64,Cloudy,Day,NO,NO,NO,NO
2012,Chicago White Sox,APR,14,33025,Saturday,Detroit Tigers,63,Cloudy,Day,YES,NO,NO,NO
2012,Chicago White Sox,APR,15,25143,Sunday,Detroit Tigers,73,Cloudy,Day,NO,NO,NO,NO
2012,Chicago White Sox,APR,16,13732,Monday,Baltimore Orioles,53,Cloudy,Night,NO,NO,NO,NO
2012,Chicago White Sox,APR,17,11267,Tuesday,Baltimore Orioles,51,Clear,Night,NO,NO,NO,NO
2012,Chicago White Sox,APR,18,13818,Wednesday,Baltimore Orioles,68,Cloudy,Night,NO,NO,NO,NO
2012,Chicago White Sox,APR,19,11836,Thursday,Baltimore Orioles,50,Cloudy,Day,NO,NO,NO,NO
2012,Chicago White Sox,APR,26,20266,Thursday,Boston Red Sox,39,Clear,Night,NO,NO,NO,NO
2012,Chicago White Sox,APR,27,20414,Friday,Boston Red Sox,39,Cloudy,Night,NO,NO,YES,NO
2012,Chicago White Sox,APR,28,20057,Saturday,Boston Red Sox,46,Cloudy,Night,NO,NO,YES,NO
2012,Chicago White Sox,APR,29,22811,Sunday,Boston Red Sox,47,Cloudy,Day,NO,NO,NO,NO
2012,Chicago White Sox,MAY,1,15212,Tuesday,Cleveland Indians,56,Cloudy,Night,NO,NO,NO,NO
2012,Chicago White Sox,MAY,2,15192,Wednesday,Cleveland Indians,76,Cloudy,Night,NO,NO,NO,NO
2012,Chicago White Sox,MAY,3,17314,Thursday,Cleveland Indians,82,Cloudy,Night,NO,NO,NO,NO
2012,Chicago White Sox,MAY,11,19129,Friday,Kansas City Royals,74,Clear,Night,NO,NO,YES,NO
2012,Chicago White Sox,MAY,12,20066,Saturday,Kansas City Royals,54,Cloudy,Night,NO,NO,YES,NO
2012,Chicago White Sox,MAY,13,22636,Sunday,Kansas City Royals,58,Cloudy,Day,NO,NO,NO,NO
2012,Chicago White Sox,MAY,14,23538,Monday,Detroit Tigers,70,Cloudy,Night,NO,NO,NO,NO
2012,Chicago White Sox,MAY,15,21473,Tuesday,Detroit Tigers,83,Clear,Day,NO,NO,NO,NO
2012,Chicago White Sox,MAY,22,20026,Tuesday,Minnesota Twins,62,Clear,Night,NO,NO,NO,NO
2012,Chicago White Sox,MAY,23,20064,Wednesday,Minnesota Twins,72,Cloudy,Night,NO,NO,NO,NO
2012,Chicago White Sox,MAY,24,20167,Thursday,Minnesota Twins,82,Clear,Night,NO,NO,NO,NO
2012,Chicago White Sox,MAY,25,21371,Friday,Cleveland Indians,66,Clear,Night,NO,NO,YES,NO
2012,Chicago White Sox,MAY,26,27151,Saturday,Cleveland Indians,73,Cloudy,Day,NO,NO,NO,YES
2012,Chicago White Sox,MAY,27,22182,Sunday,Cleveland Indians,93,Cloudy,Day,NO,NO,NO,NO
2012,Chicago White Sox,JUN,1,19168,Friday,Seattle Mariners,57,Clear,Night,NO,NO,YES,NO
2012,Chicago White Sox,JUN,2,26200,Saturday,Seattle Mariners,73,Cloudy,Day,NO,NO,NO,NO
2012,Chicago White Sox,JUN,3,23062,Sunday,Seattle Mariners,75,Cloudy,Day,NO,NO,NO,NO
2012,Chicago White Sox,JUN,5,23107,Tuesday,Toronto Blue Jays,58,Clear,Night,NO,NO,NO,NO
2012,Chicago White Sox,JUN,6,25672,Wednesday,Toronto Blue Jays,66,Clear,Night,NO,NO,NO,NO
2012,Chicago White Sox,JUN,7,25743,Thursday,Toronto Blue Jays,72,Clear,Night,NO,NO,NO,NO
2012,Chicago White Sox,JUN,8,22452,Friday,Houston Astros,83,Cloudy,Night,NO,NO,YES,NO
2012,Chicago White Sox,JUN,9,22880,Saturday,Houston Astros,87,Clear,Day,NO,NO,NO,NO
2012,Chicago White Sox,JUN,10,20398,Sunday,Houston Astros,89,Cloudy,Day,NO,NO,NO,NO
2012,Chicago White Sox,JUN,18,33215,Monday,Chicago Cubs,88,Clear,Night,NO,NO,NO,NO
2012,Chicago White Sox,JUN,19,30282,Tuesday,Chicago Cubs,88,Cloudy,Night,NO,NO,NO,NO
2012,Chicago White Sox,JUN,20,32311,Wednesday,Chicago Cubs,86,Clear,Night,NO,NO,NO,NO
2012,Chicago White Sox,JUN,22,22798,Friday,Milwaukee Brewers,75,Cloudy,Night,NO,NO,YES,NO
2012,Chicago White Sox,JUN,23,30337,Saturday,Milwaukee Brewers,75,Cloudy,Night,NO,NO,YES,NO
2012,Chicago White Sox,JUN,24,26545,Sunday,Milwaukee Brewers,89,Cloudy,Day,NO,YES,NO,NO
2012,Chicago White Sox,JUL,3,30183,Tuesday,Texas Rangers,93,Cloudy,Night,NO,NO,NO,NO
2012,Chicago White Sox,JUL,4,30271,Wednesday,Texas Rangers,97,Cloudy,Night,NO,NO,YES,NO
2012,Chicago White Sox,JUL,5,21288,Thursday,Texas Rangers,99,Clear,Day,NO,NO,NO,NO
2012,Chicago White Sox,JUL,6,27129,Friday,Toronto Blue Jays,91,Clear,Night,NO,NO,YES,NO
2012,Chicago White Sox,JUL,7,25399,Saturday,Toronto Blue Jays,75,Cloudy,Day,NO,NO,NO,YES
2012,Chicago White Sox,JUL,8,27190,Sunday,Toronto Blue Jays,75,Cloudy,Day,NO,NO,NO,NO
2012,Chicago White Sox,JUL,23,37788,Monday,Minnesota Twins,90,Cloudy,Night,NO,NO,NO,NO
2012,Chicago White Sox,JUL,24,34715,Tuesday,Minnesota Twins,75,Cloudy,Night,NO,NO,NO,NO
2012,Chicago White Sox,JUL,25,32261,Wednesday,Minnesota Twins,92,Cloudy,Day,NO,NO,NO,NO
2012,Chicago White Sox,AUG,3,32060,Friday,Los Angeles Angels,80,Clear,Night,NO,NO,YES,NO
2012,Chicago White Sox,AUG,4,28571,Saturday,Los Angeles Angels,72,Cloudy,Night,NO,NO,NO,YES
2012,Chicago White Sox,AUG,5,30202,Sunday,Los Angeles Angels,82,Clear,Day,NO,NO,NO,NO
2012,Chicago White Sox,AUG,6,30097,Monday,Kansas City Royals,82,Clear,Night,NO,NO,NO,NO
2012,Chicago White Sox,AUG,7,27194,Tuesday,Kansas City Royals,86,Cloudy,Night,NO,NO,NO,NO
2012,Chicago White Sox,AUG,8,25151,Wednesday,Kansas City Royals,73,Cloudy,Night,NO,NO,NO,NO
2012,Chicago White Sox,AUG,10,25041,Friday,Oakland Athletics,68,Cloudy,Night,NO,NO,YES,NO
2012,Chicago White Sox,AUG,11,26686,Saturday,Oakland Athletics,70,Clear,Night,YES,NO,NO,NO
2012,Chicago White Sox,AUG,12,25106,Sunday,Oakland Athletics,75,Cloudy,Day,NO,NO,NO,NO
2012,Chicago White Sox,AUG,20,27561,Monday,New York Yankees,71,Cloudy,Night,NO,NO,NO,NO
2012,Chicago White Sox,AUG,21,24247,Tuesday,New York Yankees,73,Clear,Night,NO,NO,NO,NO
2012,Chicago White Sox,AUG,22,26319,Wednesday,New York Yankees,76,Clear,Night,NO,NO,NO,NO
2012,Chicago White Sox,AUG,24,25058,Friday,Seattle Mariners,84,Cloudy,Night,NO,NO,YES,NO
2012,Chicago White Sox,AUG,25,27562,Saturday,Seattle Mariners,86,Cloudy,Night,NO,NO,YES,NO
2012,Chicago White Sox,AUG,26,23146,Sunday,Seattle Mariners,73,Rainy,Day,NO,NO,NO,NO
2012,Chicago White Sox,SEP,3,21676,Monday,Minnesota Twins,79,Clear,Night,NO,NO,NO,NO
2012,Chicago White Sox,SEP,4,15698,Tuesday,Minnesota Twins,76,Cloudy,Night,NO,NO,NO,NO
2012,Chicago White Sox,SEP,5,17336,Wednesday,Minnesota Twins,85,Cloudy,Day,NO,NO,NO,NO
2012,Chicago White Sox,SEP,7,26660,Friday,Kansas City Royals,63,Cloudy,Night,YES,NO,NO,NO
2012,Chicago White Sox,SEP,8,26227,Saturday,Kansas City Royals,70,Cloudy,Day,NO,NO,NO,NO
2012,Chicago White Sox,SEP,9,19356,Sunday,Kansas City Royals,65,Cloudy,Day,NO,NO,NO,NO
2012,Chicago White Sox,SEP,10,30287,Monday,Detroit Tigers,72,Clear,Night,NO,NO,NO,NO
2012,Chicago White Sox,SEP,11,26504,Tuesday,Detroit Tigers,77,Cloudy,Night,NO,NO,NO,NO
2012,Chicago White Sox,SEP,12,30667,Wednesday,Detroit Tigers,82,Cloudy,Night,NO,NO,NO,NO
2012,Chicago White Sox,SEP,17,29130,Monday,Detroit Tigers,81,Cloudy,Day,NO,NO,NO,NO
2012,Chicago White Sox,SEP,24,20206,Monday,Cleveland Indians,66,Clear,Night,NO,NO,NO,NO
2012,Chicago White Sox,SEP,25,13797,Tuesday,Cleveland Indians,78,Cloudy,Day,NO,NO,NO,NO
2012,Chicago White Sox,SEP,26,20166,Wednesday,Cleveland Indians,57,Clear,Night,NO,NO,NO,NO
2012,Chicago White Sox,SEP,27,18630,Thursday,Tampa Bay Rays,60,Cloudy,Night,NO,NO,NO,NO
2012,Chicago White Sox,SEP,28,25264,Friday,Tampa Bay Rays,64,Clear,Night,NO,NO,YES,NO
2012,Chicago White Sox,SEP,29,26559,Saturday,Tampa Bay Rays,78,Clear,Day,NO,NO,NO,NO
2012,Chicago White Sox,SEP,30,26831,Sunday,Tampa Bay Rays,64,Cloudy,Day,NO,NO,NO,NO
