id,tot_sls,female,married,children,HHIncomeMed,WhtCollarOcc,BluCollarOcc,pop_0_25,pop_26_plus,prc_city
C0105031875,64.26443,1,0,0,25567,78,22,16,84,9
C0108398201,135.37577,1,0,1,49813,84,16,22,78,12
C0105197115,152.52295,0,1,0,26355,72,28,11,89,11
C0102669559,140.46125,1,0,0,78625,74,26,13,87,8
C0103153671,103.44465,0,1,0,44085,74,26,17,83,19
C0107000116,227.28149,0,1,1,25281,73,27,16,84,26
C0102176606,186.61353,0,1,0,55357,76,24,19,81,22
C0103185671,122.77819,0,1,0,66511,72,28,14,86,19
C0104198623,103.16707,1,1,1,85783,86,14,13,87,8
C0106781222,188.14838,0,0,0,39822,71,29,22,78,19
C0105703385,230.46074,0,1,1,38106,71,29,21,79,25
C0109824759,144.04869,0,0,1,61961,67,33,21,79,25
C0108754247,144.53881,0,1,0,96789,80,20,21,79,13
C0104691803,91.4597,1,1,1,96930,82,18,22,78,12
C0103591095,96.96117,0,0,0,38073,82,18,18,82,15
C0102152013,170.83138,1,0,1,47522,68,32,15,85,19
C0106623625,189.77878,1,0,1,44582,68,32,21,79,21
C0104171653,156.40243,0,1,0,44767,81,19,12,88,21
C0101133162,140.98045,1,0,1,37105,71,29,18,82,11
C0109744348,109.17346,0,1,1,56874,86,14,16,84,11
C0105473962,154.63913,1,1,0,86997,77,23,9,91,13
C0109245584,135.2957,0,0,0,45330,82,18,16,84,14
C0102641913,155.60461,1,0,1,58809,82,18,20,80,10
C0107494999,136.86914,1,0,1,65066,78,22,18,82,15
C0109124203,147.00874,0,0,1,74306,80,20,22,78,12
C0101443769,232.55977,0,1,0,94413,82,18,13,87,19
C0102676244,104.59526,0,0,1,49294,67,33,10,90,10
C0107476066,198.75334,1,0,1,87046,74,26,21,79,13
C0102910011,128.96118,1,0,0,46142,73,27,20,80,10
C0103275957,141.96175,1,0,1,58075,85,15,15,85,8
C0108069284,229.53999,1,0,0,48931,77,23,16,84,22
C0106472005,108.31011,1,0,0,36759,84,16,22,78,21
C0104872090,86.15339,1,1,0,45391,71,29,15,85,13
C0109788733,149.85623,1,1,1,88987,83,17,16,84,26
C0108973549,189.98684,1,0,0,96196,71,29,19,81,18
C0103158638,117.48391,0,1,0,79979,78,22,10,90,15
C0109814077,83.60666,1,1,0,38954,69,31,14,86,13
C0109631606,179.76781,1,0,0,92889,75,25,10,90,21
C0107918523,142.93765,0,0,1,53785,75,25,9,91,26
C0105342639,190.03611,0,0,1,41159,70,30,10,90,25
C0107132240,200.50028,1,1,1,56932,82,18,20,80,13
C0109248959,188.43977,1,0,0,55413,72,28,17,83,22
C0107017222,155.87852,1,0,0,89788,65,35,20,80,24
C0102682474,162.75332,1,0,1,57908,77,23,15,85,24
C0105115269,213.02122,1,0,0,98418,70,30,12,88,13
C0106604689,116.32261,1,1,1,95009,69,31,18,82,19
C0108182515,111.83471,1,0,0,79499,65,35,14,86,17
C0101379254,142.8463,1,0,0,52470,74,26,11,89,10
C0102359167,133.1191,1,1,0,76790,79,21,16,84,20
C0101847320,155.36982,0,1,0,48758,67,33,21,79,11
C0104257582,213.64713,1,1,1,25197,79,21,22,78,19
C0107183867,120.77284,1,0,0,24596,70,30,16,84,20
C0106241165,201.87895,1,0,1,78755,76,24,9,91,10
C0105912254,157.45131,0,1,0,61039,75,25,16,84,25
C0105653465,124.56347,0,0,0,39943,67,33,18,82,22
C0103555636,185.75311,0,1,0,30459,84,16,10,90,24
C0109396674,126.35323,0,0,0,37287,68,32,19,81,8
C0109983908,170.80153,1,1,1,58557,70,30,14,86,25
C0109556419,191.4052,1,1,1,51880,86,14,11,89,26
C0103422213,185.22849,1,1,1,36581,83,17,19,81,26
C0104365371,80.08685,0,1,0,33265,73,27,13,87,14
C0107940772,95.14005,0,1,0,41345,74,26,21,79,8
C0106232582,220.13685,1,0,0,50265,67,33,12,88,26
C0108377124,223.10819,1,0,1,90511,85,15,14,86,16
C0108554877,163.38083,1,0,0,76727,70,30,20,80,22
C0107877863,141.85205,0,1,1,36145,77,23,9,91,10
C0108977873,126.69735,0,1,0,46715,72,28,18,82,10
C0106611572,176.36887,0,0,1,71203,69,31,18,82,10
C0107177447,97.26213,1,1,1,69697,71,29,22,78,14
C0108894039,143.91622,1,1,0,77918,77,23,22,78,15
C0107161770,107.35475,0,1,1,41775,71,29,20,80,14
C0105654866,174.139,1,1,1,37100,67,33,22,78,15
C0102954565,189.16504,0,0,0,79776,82,18,10,90,16
C0107255589,219.50573,0,0,1,75537,69,31,18,82,20
C0103034800,179.11811,1,1,0,48959,78,22,10,90,22
C0101011517,236.74009,0,0,0,42621,84,16,11,89,26
C0101859773,77.63075,1,1,1,31175,66,34,9,91,11
C0101796320,176.94667,1,1,0,44023,83,17,13,87,22
C0108242198,174.25912,0,1,0,65928,85,15,19,81,21
C0102919292,183.18958,1,1,0,52102,72,28,20,80,18
C0105359021,191.40757,0,0,1,56233,77,23,9,91,16
C0106011065,211.83754,1,0,1,89026,68,32,20,80,17
C0104402515,89.84311,0,1,1,48459,74,26,13,87,13
C0105943320,109.65495,1,0,1,68155,76,24,11,89,8
C0105240496,170.42637,1,0,1,26953,82,18,13,87,17
C0102313055,143.40313,0,0,1,75597,83,17,16,84,11
C0102699776,173.6293,1,0,0,77170,71,29,14,86,11
C0106352881,205.78403,1,1,0,74807,73,27,22,78,15
C0107277806,182.26128,0,1,0,82832,76,24,15,85,26
C0108694167,151.95717,1,0,0,78473,85,15,12,88,16
C0101775046,189.26353,1,0,0,85357,77,23,13,87,20
C0104419563,178.76695,0,1,0,82955,79,21,13,87,8
C0104956615,203.90037,1,0,1,99553,82,18,9,91,9
C0109132886,135.27104,1,1,1,96176,77,23,14,86,24
C0108459780,137.63274,0,1,1,56906,83,17,9,91,20
C0108513179,182.09673,1,0,0,93437,84,16,18,82,24
C0108881583,149.59158,1,0,0,42902,68,32,16,84,9
C0108792147,128.1145,1,0,0,29050,81,19,21,79,13
C0103713582,206.19908,1,1,1,56652,77,23,18,82,14
C0104992933,97.51339,1,0,1,53391,79,21,14,86,15
C0105897371,190.59051,0,1,1,40519,68,32,15,85,21
C0107403824,205.66454,1,1,1,34326,70,30,14,86,19
C0101309072,148.53841,0,1,0,44029,74,26,15,85,13
C0102693417,115.0507,0,1,0,34830,74,26,11,89,16
C0108535099,208.24456,1,1,0,92464,66,34,17,83,25
C0109420187,194.15767,1,0,0,82923,77,23,14,86,21
C0106681053,168.47844,0,0,1,58236,73,27,21,79,21
C0108954455,230.77662,1,0,0,99678,73,27,19,81,18
C0105764520,205.03302,1,0,0,71838,68,32,10,90,12
C0103186784,71.28691,1,0,1,27679,69,31,17,83,13
C0102473935,197.12426,0,0,0,63394,85,15,10,90,26
C0101921870,208.08029,0,0,1,87001,81,19,17,83,23
C0103721063,147.57875,1,0,0,39375,83,17,19,81,17
C0105793618,160.52341,0,0,0,87529,78,22,17,83,8
C0103573163,129.1633,0,0,0,32770,76,24,12,88,16
C0104876512,183.78717,0,1,1,80473,78,22,17,83,9
C0107385655,179.64011,0,1,1,93759,82,18,20,80,14
C0103580110,133.7544,1,0,1,35360,84,16,22,78,12
C0102608767,126.03147,0,1,1,59143,78,22,14,86,26
C0103169303,144.9197,0,0,1,54930,75,25,19,81,24
C0101874212,90.21218,0,1,1,28042,77,23,10,90,19
C0106342782,227.17523,0,0,1,79087,81,19,17,83,18
C0108838611,154.36435,0,0,1,65015,65,35,21,79,12
C0109244359,184.45678,1,0,1,91782,65,35,13,87,16
C0108918933,155.81545,0,1,1,41605,70,30,10,90,17
C0107817528,188.44247,0,0,0,81043,71,29,13,87,26
C0103642025,199.31594,0,0,0,83986,78,22,15,85,10
C0108023824,198.76276,0,0,1,73044,85,15,14,86,10
C0107650876,187.19693,0,0,1,42817,67,33,9,91,20
C0109208316,200.84237,0,1,1,84353,84,16,22,78,13
C0104732216,229.7357,0,0,0,63330,67,33,10,90,22
C0109164799,200.30886,0,1,0,98134,68,32,18,82,25
C0101204024,101.97073,0,1,1,95037,67,33,20,80,16
C0109535025,157.60178,1,0,1,98282,79,21,16,84,21
C0101329162,160.14827,0,1,1,86063,79,21,16,84,25
C0101237757,205.04567,1,1,1,24123,76,24,21,79,21
C0107555681,200.64345,0,0,0,78805,71,29,13,87,24
C0101983829,203.35513,1,0,1,75397,70,30,9,91,19
C0107602159,197.71702,1,0,1,75438,79,21,14,86,11
C0106712088,167.30241,1,1,0,73629,86,14,12,88,8
C0102164154,202.09066,1,0,1,55554,66,34,20,80,15
C0108032469,152.11702,1,1,1,60438,86,14,12,88,11
C0104254963,176.1623,1,0,0,55870,72,28,20,80,8
C0108635817,124.48122,1,0,0,97418,75,25,16,84,13
C0108246014,175.76307,1,1,0,95183,70,30,9,91,21
C0104078660,174.51754,1,0,1,75026,73,27,13,87,8
C0107233769,120.78494,1,0,1,31086,81,19,13,87,9
C0104684418,234.67981,0,1,0,73689,76,24,22,78,23
C0103855879,105.50872,0,0,1,88168,70,30,12,88,20
C0106843502,178.32477,1,1,1,87913,85,15,10,90,23
C0104137033,200.34931,1,1,0,44239,78,22,15,85,23
C0102167667,147.68904,0,0,0,93376,86,14,15,85,15
C0106783438,142.71987,1,0,0,96103,68,32,21,79,24
C0105505165,148.97034,1,0,1,63346,74,26,14,86,23
C0109742001,206.50502,1,0,1,77638,74,26,17,83,21
C0101458268,200.87656,0,1,1,41264,81,19,20,80,26
C0103492887,224.80551,1,1,1,84019,82,18,11,89,21
C0106095030,181.0737,1,0,0,78530,84,16,9,91,12
C0109970983,230.25977,1,1,1,51413,70,30,10,90,25
C0102267505,112.96655,0,0,0,94195,77,23,16,84,20
C0101010480,97.28215,0,1,1,77835,71,29,11,89,10
C0103849226,143.5759,0,0,1,43710,77,23,19,81,12
C0103157604,211.46253,1,0,1,55457,78,22,13,87,15
C0103387183,184.68537,0,1,1,50053,80,20,18,82,13
C0103570309,140.62048,0,0,0,41312,76,24,15,85,22
C0107112595,150.3501,0,0,0,53690,79,21,14,86,23
C0104072774,171.2614,0,1,0,83660,67,33,16,84,24
C0108804283,204.66567,1,0,0,86123,78,22,18,82,23
C0107081144,74.45185,1,1,0,38765,71,29,19,81,8
C0106775429,167.27974,1,0,0,92206,66,34,18,82,13
C0102290599,197.72286,0,1,1,25734,83,17,16,84,26
C0108165474,160.3842,1,1,1,63980,72,28,17,83,15
C0108063977,144.75816,1,0,0,82304,73,27,12,88,16
C0102785959,124.11544,1,0,0,49536,85,15,14,86,16
C0102729398,107.17048,0,1,0,25312,79,21,14,86,15
C0109938791,173.98247,0,1,0,86043,82,18,13,87,12
C0105340670,115.25845,1,0,1,94305,74,26,9,91,9
C0105127339,197.24555,1,1,1,51295,79,21,17,83,15
C0109526674,107.78905,0,1,0,33445,72,28,18,82,19
C0104040508,89.71853,1,0,1,71857,75,25,10,90,11
C0105327501,194.81605,1,1,0,49745,78,22,22,78,10
C0104122543,171.90159,0,0,0,97971,78,22,20,80,21
C0108370804,204.04074,1,1,1,73106,69,31,13,87,11
C0105222349,87.88163,1,1,0,51247,78,22,17,83,8
C0106317948,177.84472,1,1,1,62568,76,24,21,79,14
C0102130122,85.50085,0,1,1,54865,65,35,13,87,11
C0101137389,185.18003,0,0,1,93207,67,33,11,89,12
C0106414815,220.38335,1,0,1,86115,69,31,18,82,24
C0105189470,192.5153,0,1,1,35570,80,20,18,82,26
C0105669623,105.71749,0,1,1,28681,66,34,21,79,20
C0107607649,229.1367,0,0,0,43230,83,17,12,88,23
C0107168655,93.92905,0,0,0,54445,66,34,12,88,19
C0109580671,180.78571,0,0,0,50399,77,23,22,78,22
C0102219404,167.36274,1,0,1,81906,77,23,9,91,10
C0109043890,193.53638,1,0,0,44022,72,28,9,91,15
C0102430519,74.19253,0,0,0,26457,80,20,17,83,8
C0106934623,110.36143,1,1,0,58867,75,25,20,80,17
C0106468319,162.70228,1,0,0,49732,66,34,22,78,13
C0106903685,124.41641,1,0,1,85229,67,33,19,81,12
C0103273083,101.20712,1,1,0,74128,72,28,20,80,13
C0102469247,100.29744,1,1,0,87336,74,26,10,90,10
C0101164060,156.90576,1,1,1,70744,77,23,18,82,22
C0108137746,143.35652,1,1,1,95988,85,15,19,81,12
C0102075311,207.4073,0,1,0,91370,84,16,14,86,19
C0107164907,147.44409,0,1,1,93221,71,29,19,81,22
C0107960567,210.64369,0,0,1,55461,85,15,14,86,24
C0105014894,83.62278,1,1,1,87182,82,18,15,85,10
C0109958065,179.03173,1,0,0,86937,77,23,15,85,17
C0107315557,143.04753,1,1,0,47957,73,27,15,85,18
C0101980112,191.83801,0,1,0,47269,79,21,18,82,14
C0101965422,141.73297,0,1,1,57493,66,34,11,89,24
C0107907229,133.49985,1,1,1,72965,81,19,17,83,15
C0105882341,106.19794,1,1,0,58786,84,16,20,80,12
C0105459331,128.77981,0,0,1,88689,73,27,19,81,19
C0107712860,202.4967,0,1,0,71230,69,31,15,85,21
C0103551934,115.92807,0,0,0,90683,66,34,15,85,17
C0106455499,158.75069,1,0,1,77761,71,29,16,84,15
C0108211734,179.61693,0,0,1,78817,73,27,14,86,9
C0103645681,197.09639,0,1,1,38091,78,22,21,79,26
C0105410302,139.90994,1,0,0,41586,78,22,18,82,16
C0107644962,113.72517,1,0,1,59673,84,16,13,87,26
C0105033602,196.0699,1,1,0,69310,82,18,22,78,11
C0109140755,144.68439,0,1,0,84291,68,32,21,79,16
C0107865586,209.54228,1,1,1,59732,85,15,9,91,25
C0103210184,157.84434,0,0,0,89946,74,26,12,88,11
C0102715921,202.82849,1,1,0,39581,72,28,21,79,15
C0104390746,115.466,1,1,1,58400,74,26,21,79,24
C0108352797,115.3268,0,0,0,97920,74,26,21,79,10
C0105472945,106.62911,0,1,1,84859,84,16,22,78,11
C0103295369,178.41106,0,1,1,98314,66,34,12,88,18
C0102753133,195.65857,0,0,0,45133,84,16,20,80,10
C0109049978,151.93919,1,0,0,80411,69,31,19,81,18
C0101176964,127.87445,1,0,0,40705,77,23,20,80,20
C0101092611,154.9763,1,0,0,43470,68,32,13,87,25
C0109843567,180.67604,0,1,1,34676,79,21,22,78,9
C0103997561,164.44157,1,0,1,71833,67,33,20,80,20
C0108752211,183.97579,0,1,0,64951,71,29,12,88,11
C0107689518,83.65875,1,1,0,46375,71,29,20,80,15
C0106552796,150.66197,1,0,0,80593,71,29,16,84,10
C0105130938,186.31303,0,1,0,79907,79,21,17,83,11
C0104739611,169.20409,0,0,1,38221,78,22,12,88,11
C0104405449,133.50835,0,0,0,29615,70,30,10,90,26
C0104530678,135.16164,1,0,1,84316,67,33,21,79,20
C0103274482,171.73985,0,0,0,90965,66,34,22,78,10
C0104833543,160.682,0,0,0,48800,65,35,19,81,10
C0101069973,99.48503,0,1,0,24707,65,35,17,83,21
C0105290654,204.40979,1,1,1,66551,81,19,18,82,25
C0102787799,193.34198,0,1,0,45662,81,19,20,80,17
C0103951202,101.98442,1,0,0,56498,84,16,14,86,15
C0105007745,112.12235,0,1,1,65215,84,16,11,89,21
C0108126788,217.06585,1,0,0,73365,70,30,22,78,20
C0102008774,144.59902,0,0,0,88238,75,25,19,81,10
C0103104659,125.32248,1,0,1,28112,70,30,19,81,26
C0109807863,141.91617,0,0,1,62573,66,34,22,78,10
C0101017885,172.45114,1,1,0,67866,77,23,11,89,8
C0102840960,115.31092,0,1,1,35348,81,19,11,89,23
C0101682533,194.5858,1,1,1,31020,80,20,9,91,22
C0102211950,240.94186,0,1,1,74834,85,15,19,81,23
C0105104282,205.37737,1,0,0,38853,73,27,13,87,25
C0107189281,150.59016,1,0,1,36104,79,21,15,85,21
C0104508814,212.38995,1,0,1,80655,75,25,21,79,26
C0104486892,93.33388,0,1,0,39772,70,30,22,78,19
C0102532773,144.49819,0,1,0,47511,80,20,21,79,20
C0103541517,176.70659,1,1,1,33471,84,16,21,79,24
C0105176439,139.33778,1,1,0,88682,69,31,18,82,14
C0105108396,208.57999,1,0,0,55931,73,27,18,82,24
C0106330804,84.26204,1,1,0,37076,82,18,17,83,10
C0108293430,118.53898,0,1,1,86962,84,16,18,82,16
C0107627569,100.60562,0,0,0,70778,72,28,16,84,19
C0109674302,143.53265,0,0,1,92285,75,25,20,80,26
C0108933021,126.36273,0,1,0,31837,80,20,18,82,14
C0108197338,127.19431,0,1,1,76739,76,24,22,78,24
C0109928246,168.79892,1,0,0,52548,69,31,11,89,14
C0105081601,78.41372,1,1,1,30668,69,31,9,91,9
C0108485257,196.20709,1,1,1,24921,78,22,22,78,25
C0109528071,172.73334,1,0,1,65046,83,17,11,89,17
C0108257682,187.14295,0,1,0,29355,71,29,12,88,9
C0108538194,200.11718,0,1,0,82542,83,17,17,83,16
C0106879103,142.51612,1,0,1,63228,84,16,16,84,9
C0101355075,116.34117,0,0,1,82073,75,25,9,91,19
C0105896876,202.47465,1,1,1,86085,71,29,22,78,18
C0109886562,235.31311,0,0,1,95459,85,15,13,87,25
C0101323440,83.06036,1,1,0,29484,83,17,11,89,15
C0109034569,146.77367,1,1,1,86323,82,18,20,80,12
C0106618922,104.03996,1,0,0,47724,68,32,15,85,12
C0101529562,152.76788,0,0,0,66372,86,14,17,83,13
C0104549804,102.49274,0,1,0,43906,77,23,14,86,11
C0104635762,148.85459,1,1,0,89671,79,21,12,88,13
C0107698853,167.27792,0,0,1,25648,74,26,14,86,13
C0107483981,133.83392,0,0,0,71048,65,35,17,83,12
C0109956802,185.85596,0,1,0,65124,76,24,22,78,16
C0106828338,169.03401,1,0,0,74669,67,33,17,83,20
C0104292783,123.54287,0,0,1,79803,73,27,22,78,18
C0103176735,153.64609,1,1,0,56021,86,14,12,88,11
C0108700133,99.52623,1,0,0,72987,65,35,12,88,9
C0107804596,135.28945,1,1,1,27205,65,35,15,85,11
C0103193866,163.01602,1,1,1,75538,81,19,9,91,8
C0105481566,121.65387,1,0,1,92703,80,20,15,85,13
C0105306532,156.56494,1,1,0,53086,76,24,14,86,13
C0102560266,170.1095,1,1,1,71550,82,18,13,87,9
C0103824236,116.5658,1,1,0,97020,81,19,20,80,15
C0103821785,162.65109,1,0,0,62521,83,17,13,87,26
C0104915581,188.01953,1,0,1,53757,76,24,18,82,17
C0108726939,138.21766,0,1,0,62854,75,25,11,89,12
C0109391711,225.01149,0,0,1,74281,83,17,20,80,25
C0106677475,83.32107,1,1,1,72383,75,25,19,81,9
C0107046629,153.91899,1,0,1,56031,80,20,21,79,16
C0102011925,161.73524,1,1,0,30156,74,26,16,84,22
C0103475864,203.08984,1,1,0,83896,79,21,19,81,20
C0101158078,59.88214,1,0,0,24766,70,30,10,90,8
C0106787610,210.11283,0,0,1,73527,71,29,11,89,16
C0106342437,190.69365,0,0,0,70185,66,34,22,78,17
C0109356406,127.52408,0,1,0,88152,84,16,22,78,18
C0109555093,194.73053,1,1,1,68657,68,32,9,91,23
C0105556369,151.99546,1,1,0,84674,81,19,14,86,13
C0106300242,120.26092,0,0,1,48348,81,19,12,88,8
C0104859225,153.16664,0,1,0,93816,86,14,9,91,13
C0104215296,135.77226,1,0,0,62594,66,34,22,78,8
C0105950420,220.6848,1,0,1,34120,82,18,16,84,24
C0102340024,177.37636,1,1,1,95884,68,32,11,89,21
C0109000802,175.98006,0,1,1,64414,72,28,21,79,26
C0107036836,129.15708,0,0,1,90852,79,21,12,88,16
C0109300359,227.09887,1,0,0,36203,84,16,10,90,25
C0103744718,164.92306,1,0,0,93114,65,35,19,81,16
C0102595587,184.13073,0,1,1,96037,65,35,13,87,12
C0109001148,101.22894,1,0,1,37686,70,30,13,87,9
C0104645220,218.05704,0,1,1,85576,81,19,21,79,21
C0107445165,160.13795,1,0,1,41855,84,16,16,84,21
C0106727079,198.49646,1,0,0,93574,73,27,17,83,26
C0107283361,116.64989,0,1,0,28241,76,24,19,81,20
C0102998129,115.11012,0,1,1,84828,74,26,9,91,9
C0103681680,107.25512,1,0,1,30328,65,35,21,79,22
C0105345964,100.66299,0,0,0,71631,80,20,15,85,16
C0102380926,194.63379,1,0,1,33151,85,15,10,90,16
C0101292396,169.97992,1,1,1,29448,66,34,10,90,26
C0109526044,154.27513,0,1,1,34397,83,17,21,79,20
C0101237496,172.67986,0,1,0,52034,65,35,22,78,19
C0103386528,113.03839,1,1,1,78891,70,30,19,81,21
C0101896369,128.85274,0,0,0,67906,68,32,18,82,10
