customer_id,channel,female,married,children,NumChildren,Population_K,HouseHolds, HHAveSize ,pop_0_25,pop_26_45,pop_46_65,pop_65_plus,HHIncomeMed,WhtCollarOcc,BluCollarOcc,cust_age
C0107333321,direct,1,1,1,5,561,253, 2.3 ,32,30,23,15,72986,35,65,21
C0105731918,direct,0,0,0,5,966,424, 2.2 ,31,30,23,16,79828,67,33,50
C0102711141,dm,1,0,0,0,367,93, 2.5 ,31,30,23,16,68530,53,47,20
C0106845036,organic_search,0,0,1,2,258,457, 2.2 ,32,30,22,16,83596,34,66,79
C0105799625,direct,1,1,1,5,576,274, 2.5 ,32,29,22,17,76615,23,77,90
C0106670032,direct,0,1,1,2,364,366, 2.5 ,32,29,22,17,54241,53,47,37
C0104652158,direct,0,1,0,4,844,153, 2.1 ,31,29,23,17,77554,27,73,87
C0103575872,direct,0,0,0,0,439,206, 2.3 ,32,30,22,16,30584,21,79,37
C0104940661,direct,1,1,0,1,930,313, 2.5 ,32,29,23,16,86036,23,77,47
C0105384911,display_ad,0,1,1,2,241,133, 2.0 ,31,30,22,17,29230,38,62,73
C0102355264,dm,0,1,0,2,930,371, 2.2 ,32,30,22,16,81767,66,34,58
C0104927724,organic_search,1,0,0,4,432,176, 2.6 ,31,30,22,17,20057,33,67,69
C0102503564,organic_search,1,1,0,3,1059,257, 2.2 ,31,29,23,17,16118,48,52,36
C0108946091,organic_search,1,0,1,2,236,366, 2.3 ,31,30,23,16,35002,48,52,41
C0108805674,dm,1,1,0,4,238,359, 2.4 ,32,30,23,15,45499,56,44,75
C0108725771,direct,1,1,0,5,1041,333, 2.1 ,31,30,23,16,74161,53,47,19
C0108363300,organic_search,1,1,1,0,1083,99, 2.5 ,32,29,23,16,79836,34,66,45
C0105567813,direct,1,0,0,0,295,110, 2.3 ,32,30,23,15,60887,27,73,69
C0108292222,organic_search,0,1,1,5,187,441, 2.3 ,32,30,23,15,80895,55,45,54
C0108162991,direct,1,1,0,3,467,353, 2.2 ,32,29,22,17,54463,46,54,18
C0104081572,dm,1,1,0,5,518,446, 2.4 ,31,30,23,16,84492,65,35,64
C0105127588,display_ad,1,0,0,0,515,118, 2.5 ,31,30,23,16,40236,50,50,31
C0107141024,direct,0,0,0,5,726,192, 2.6 ,31,30,23,16,23123,46,54,38
C0106861804,organic_search,1,0,1,4,808,428, 2.2 ,31,29,23,17,70719,47,53,24
C0106233058,organic_search,1,0,0,4,740,477, 2.1 ,32,30,23,15,76630,61,39,47
C0107425560,dm,1,1,0,1,726,328, 2.6 ,32,30,22,16,25759,27,73,74
C0104151266,display_ad,1,0,0,3,606,219, 2.1 ,32,30,23,15,70895,45,55,74
C0102741907,organic_search,1,1,1,5,382,364, 2.2 ,32,30,22,16,48032,40,60,88
C0102129149,dm,1,1,1,5,827,185, 2.3 ,31,30,22,17,29575,40,60,58
C0106132984,organic_search,1,0,1,2,1078,295, 2.3 ,32,30,23,15,48549,57,43,84
C0103462171,em,1,1,1,3,300,439, 2.6 ,32,30,22,16,53819,36,64,69
C0104895767,organic_search,1,1,1,0,786,347, 2.5 ,32,29,23,16,87538,23,77,44
C0105893478,display_ad,1,1,0,2,815,147, 2.6 ,32,29,22,17,40076,24,76,58
C0103628796,organic_search,1,1,1,0,317,245, 2.4 ,32,30,23,15,20077,52,48,90
C0106663660,organic_search,0,0,1,5,529,196, 2.4 ,32,29,22,17,17162,28,72,91
C0105687406,direct,1,0,0,5,674,408, 2.2 ,31,30,23,16,34594,46,54,80
C0104048410,organic_search,1,0,0,4,989,464, 2.2 ,32,29,22,17,75623,66,34,25
C0107885988,direct,1,1,1,0,374,221, 2.1 ,32,29,23,16,83043,38,62,77
C0102396248,direct,1,1,1,2,911,416, 2.1 ,31,29,23,17,70670,39,61,74
C0102360957,dm,0,1,1,0,1095,211, 2.0 ,31,30,22,17,77755,62,38,70
C0108290804,organic_search,0,0,1,2,539,329, 2.3 ,31,30,22,17,86619,22,78,82
C0105999057,organic_search,0,0,1,2,418,211, 2.6 ,31,30,23,16,27042,38,62,32
C0105546755,display_ad,1,0,0,1,1060,302, 2.4 ,32,30,22,16,17826,23,77,18
C0103340241,organic_search,1,1,0,0,902,216, 2.3 ,31,30,22,17,67783,52,48,19
C0104382425,display_ad,1,1,1,3,866,321, 2.4 ,31,30,22,17,74347,53,47,88
C0105474615,direct,1,0,0,1,702,331, 2.6 ,32,29,23,16,22345,64,36,81
C0106087059,display_ad,0,1,0,1,889,264, 2.5 ,31,30,22,17,68483,58,42,69
C0107498490,em,0,0,0,5,577,280, 2.3 ,32,29,23,16,27716,44,56,58
C0107032260,direct,1,0,1,5,658,468, 2.4 ,32,29,23,16,79348,46,54,57
C0105041835,direct,1,1,0,5,412,201, 2.1 ,32,29,23,16,31934,67,33,47
C0107251642,direct,0,1,0,2,1018,168, 2.4 ,32,29,23,16,43375,41,59,53
C0105443944,dm,0,0,1,3,489,338, 2.4 ,31,29,22,18,35009,53,47,89
C0105222489,direct,0,1,0,2,448,462, 2.4 ,31,30,23,16,62387,57,43,47
C0108018649,organic_search,1,1,1,2,673,391, 2.4 ,32,30,22,16,39920,39,61,48
C0106587047,organic_search,1,1,1,0,1070,310, 2.4 ,32,29,22,17,28940,62,38,88
C0105706769,direct,1,0,1,3,1050,209, 2.3 ,32,29,22,17,47095,36,64,74
C0107055895,organic_search,0,0,1,5,495,323, 2.3 ,31,29,23,17,79115,32,68,88
C0102422043,direct,0,0,1,5,1028,245, 2.4 ,31,29,23,17,24366,68,32,57
C0108170290,direct,0,1,0,2,876,181, 2.1 ,32,30,23,15,25110,68,32,36
C0103312808,organic_search,1,0,1,3,425,418, 2.5 ,32,30,23,15,19585,65,35,85
C0108375959,direct,0,1,0,2,770,78, 2.2 ,31,30,22,17,67121,42,58,48
C0105999013,direct,1,0,0,0,912,262, 2.6 ,32,30,22,16,73127,51,49,42
C0108026409,em,1,0,0,0,639,376, 2.6 ,32,29,22,17,70104,50,50,19
C0107525642,direct,0,0,0,1,786,294, 2.2 ,32,30,22,16,56134,46,54,44
C0102065451,display_ad,1,1,1,0,970,299, 2.4 ,31,29,22,18,62422,66,34,27
C0102534594,direct,0,1,0,5,322,320, 2.5 ,32,30,22,16,49351,65,35,29
C0106783886,dm,0,0,0,1,792,268, 2.3 ,31,29,22,18,66364,34,66,61
C0103337980,dm,0,0,0,4,776,234, 2.3 ,31,29,23,17,17946,26,74,38
C0102784833,direct,1,0,0,0,213,215, 2.1 ,31,30,23,16,80137,48,52,35
C0106294632,direct,1,1,1,5,534,367, 2.0 ,31,29,22,18,58532,23,77,25
C0105359331,em,1,0,0,0,223,235, 2.5 ,32,30,22,16,55439,22,78,21
C0108630318,direct,0,0,1,4,1015,160, 2.5 ,32,29,22,17,67986,24,76,64
C0108376935,direct,0,0,0,1,195,412, 2.5 ,31,29,22,18,48566,61,39,56
C0105200103,dm,1,1,0,0,507,149, 2.1 ,31,29,23,17,43473,25,75,55
C0103025138,direct,0,0,1,0,257,124, 2.1 ,32,29,22,17,79446,25,75,51
C0106358626,em,1,1,1,4,236,170, 2.5 ,32,29,23,16,86360,55,45,57
C0108119854,display_ad,1,1,0,2,535,440, 2.0 ,32,29,23,16,81711,58,42,61
C0103405398,direct,1,1,1,1,931,133, 2.4 ,32,29,22,17,36483,24,76,69
C0108597262,organic_search,0,0,1,4,373,325, 2.5 ,32,30,22,16,32471,49,51,88
C0102293758,organic_search,1,1,1,2,767,413, 2.2 ,32,29,23,16,57514,68,32,53
C0108694389,direct,0,0,1,2,599,364, 2.0 ,31,29,23,17,84154,31,69,60
C0102387453,direct,0,1,1,1,352,332, 2.5 ,31,29,22,18,68297,33,67,69
C0108339543,organic_search,0,0,1,4,679,387, 2.3 ,32,29,22,17,31301,56,44,35
C0107469649,direct,0,1,0,0,208,257, 2.4 ,32,30,22,16,45461,42,58,33
C0102169288,dm,0,0,1,2,900,367, 2.4 ,31,29,22,18,84368,31,69,29
C0105530946,organic_search,0,0,0,5,718,197, 2.5 ,32,29,22,17,55062,61,39,55
C0107806077,direct,1,0,0,4,852,204, 2.3 ,32,29,22,17,39929,62,38,56
C0102995612,organic_search,0,0,1,4,966,445, 2.3 ,32,30,22,16,30959,52,48,29
C0105840103,em,0,0,0,4,636,242, 2.4 ,31,29,23,17,33343,33,67,48
C0105833344,organic_search,1,1,1,2,974,239, 2.4 ,31,29,23,17,82977,44,56,90
C0105571074,direct,0,0,1,5,818,186, 2.3 ,32,29,23,16,58742,61,39,57
C0105971736,em,0,0,0,0,615,319, 2.6 ,31,30,23,16,24569,62,38,41
C0106705004,direct,0,0,0,3,484,127, 2.3 ,32,30,23,15,51807,51,49,86
C0107894113,organic_search,1,1,0,5,249,264, 2.3 ,32,30,23,15,32793,34,66,77
C0105638987,direct,0,1,1,0,349,123, 2.6 ,32,29,23,16,48027,52,48,21
C0107631025,direct,0,1,1,3,312,114, 2.4 ,32,30,23,15,48078,29,71,80
C0105499625,organic_search,0,1,0,1,361,174, 2.2 ,32,29,22,17,82500,48,52,89
C0104858108,direct,0,1,1,4,864,441, 2.4 ,31,30,23,16,78044,43,57,73
C0107865516,direct,0,0,1,1,743,154, 2.2 ,31,30,23,16,87244,37,63,83
C0105393556,organic_search,1,0,1,3,701,238, 2.4 ,31,30,22,17,82205,25,75,52
C0105828144,organic_search,1,1,0,4,893,175, 2.2 ,32,30,23,15,77112,42,58,57
C0107171885,organic_search,0,0,0,3,514,213, 2.2 ,31,30,23,16,50571,36,64,46
C0106958061,organic_search,1,0,1,0,817,98, 2.2 ,31,29,22,18,19794,31,69,22
C0106026680,organic_search,0,0,1,0,433,400, 2.3 ,32,29,23,16,78212,65,35,38
C0107374068,direct,1,0,1,5,261,361, 2.2 ,32,30,22,16,66516,26,74,88
C0103400864,direct,1,1,0,4,871,404, 2.2 ,31,29,23,17,86919,60,40,53
C0106234508,organic_search,0,0,0,5,199,161, 2.2 ,32,30,23,15,85980,44,56,67
C0106796644,direct,0,1,0,4,209,369, 2.1 ,32,30,22,16,65949,49,51,37
C0105613692,em,1,1,1,3,560,439, 2.1 ,32,29,22,17,55237,27,73,80
C0106575436,em,0,0,1,5,944,409, 2.0 ,32,29,23,16,42470,51,49,91
C0106818085,display_ad,1,0,1,0,529,192, 2.2 ,32,30,23,15,72971,29,71,61
C0107040340,organic_search,1,1,0,1,291,93, 2.5 ,31,29,23,17,57193,63,37,68
C0102195172,direct,1,1,0,4,773,287, 2.5 ,32,30,22,16,37177,34,66,66
C0102346015,direct,1,0,0,1,1020,427, 2.1 ,32,29,23,16,56741,38,62,21
C0108332512,direct,1,0,0,4,971,292, 2.2 ,32,30,22,16,73941,60,40,63
C0107478847,em,1,1,1,3,984,214, 2.4 ,32,30,23,15,23906,24,76,63
C0106599324,organic_search,1,0,0,5,999,240, 2.1 ,31,29,23,17,18381,23,77,38
C0102935836,organic_search,1,1,0,1,310,164, 2.3 ,32,29,22,17,27452,36,64,64
C0105061576,direct,0,0,1,5,941,459, 2.5 ,32,29,22,17,33599,46,54,49
C0105531909,organic_search,1,1,0,4,944,276, 2.2 ,31,29,23,17,41382,43,57,91
C0104000563,direct,1,0,1,2,841,165, 2.1 ,32,29,23,16,56760,58,42,34
C0105460958,organic_search,1,1,1,0,1082,283, 2.2 ,32,30,23,15,61573,60,40,18
C0107630317,direct,0,0,0,4,581,102, 2.4 ,31,29,23,17,73298,24,76,85
C0105256008,em,0,0,1,4,468,254, 2.3 ,31,29,22,18,47916,28,72,59
C0106347199,direct,1,0,0,1,497,334, 2.6 ,32,30,23,15,18537,66,34,76
C0102105457,direct,1,1,0,4,319,440, 2.2 ,31,30,23,16,26933,55,45,85
C0104619074,dm,0,0,1,5,572,166, 2.1 ,31,29,23,17,23432,53,47,41
C0105237372,em,1,1,1,1,591,323, 2.5 ,32,30,23,15,20474,21,79,83
C0108048901,em,0,0,1,2,546,307, 2.1 ,31,29,22,18,29647,29,71,24
C0104069766,dm,0,1,1,0,771,237, 2.1 ,31,30,22,17,22068,30,70,28
C0105377754,dm,1,1,0,5,1067,340, 2.1 ,32,30,22,16,80914,21,79,58
C0104026335,organic_search,0,1,0,1,880,228, 2.3 ,31,30,23,16,47876,54,46,88
C0107006619,direct,1,1,0,4,229,418, 2.3 ,31,30,23,16,49476,33,67,45
C0108941557,direct,0,0,0,4,705,461, 2.4 ,32,29,23,16,81980,41,59,21
C0107043756,em,1,0,0,5,485,383, 2.1 ,31,30,23,16,48157,55,45,22
C0102793649,organic_search,1,1,0,5,633,97, 2.3 ,31,30,22,17,85540,64,36,77
C0104669973,direct,0,0,1,1,272,240, 2.0 ,32,29,23,16,34573,36,64,29
C0102031111,display_ad,1,0,0,2,345,375, 2.3 ,32,30,23,15,58505,56,44,54
C0108491948,direct,0,0,1,3,481,474, 2.2 ,31,29,22,18,42469,63,37,31
C0106259795,display_ad,0,0,1,1,885,91, 2.6 ,32,30,22,16,33777,41,59,90
C0104760022,direct,0,1,1,5,914,288, 2.1 ,31,29,23,17,75323,56,44,53
C0104689348,dm,1,1,0,0,495,430, 2.1 ,31,29,22,18,25204,29,71,56
C0102318245,organic_search,0,0,0,1,538,218, 2.3 ,31,29,23,17,38932,22,78,59
C0104949257,display_ad,1,1,1,3,262,294, 2.1 ,32,30,22,16,59656,62,38,20
C0103493708,direct,0,0,1,1,459,202, 2.4 ,31,30,23,16,41446,33,67,79
C0102128135,direct,0,1,0,4,626,312, 2.5 ,32,30,22,16,29253,24,76,42
C0102616026,direct,1,0,0,3,845,183, 2.4 ,32,29,23,16,45608,51,49,56
C0102886151,display_ad,1,1,1,5,491,360, 2.1 ,32,30,23,15,87693,30,70,21
C0102816396,organic_search,0,0,1,1,740,455, 2.1 ,32,30,23,15,48790,37,63,72
C0104885149,display_ad,1,0,0,2,972,269, 2.6 ,32,30,22,16,75586,24,76,84
C0103435145,organic_search,1,1,0,1,813,402, 2.0 ,32,29,23,16,21454,61,39,39
C0106165774,organic_search,0,1,1,3,217,443, 2.2 ,31,29,22,18,48588,59,41,80
C0108339879,dm,1,1,0,2,291,434, 2.3 ,31,30,23,16,28183,35,65,64
C0105879841,display_ad,0,1,0,0,817,80, 2.4 ,31,29,22,18,75975,36,64,72
C0105829219,direct,1,1,0,3,833,315, 2.5 ,32,29,22,17,69900,67,33,66
C0107246056,direct,0,0,0,0,1102,190, 2.5 ,31,30,23,16,86970,45,55,62
C0103032878,organic_search,1,1,0,2,692,230, 2.6 ,32,30,22,16,20504,27,73,21
C0102799240,direct,1,1,0,4,920,221, 2.3 ,32,29,22,17,45082,50,50,35
C0108428760,organic_search,1,1,1,2,803,229, 2.3 ,32,29,22,17,47184,59,41,75
C0105602922,organic_search,1,1,1,1,399,141, 2.3 ,31,30,22,17,72123,66,34,69
C0108761896,direct,1,1,1,0,530,212, 2.1 ,31,30,23,16,79097,41,59,78
C0103235974,direct,0,1,1,0,475,230, 2.5 ,31,29,23,17,57074,53,47,19
C0102858396,organic_search,1,1,0,0,315,428, 2.1 ,31,30,22,17,31369,67,33,38
C0106148750,direct,1,1,1,1,220,331, 2.2 ,32,30,23,15,78791,27,73,35
C0103201626,direct,1,0,0,5,330,269, 2.0 ,32,30,22,16,82083,52,48,86
C0106820632,em,1,1,1,3,538,79, 2.4 ,31,29,22,18,84383,26,74,58
C0104264395,direct,0,0,0,1,247,463, 2.2 ,31,29,22,18,75807,58,42,40
C0103303871,organic_search,0,0,1,4,985,105, 2.3 ,32,30,23,15,57081,54,46,64
C0106800825,direct,0,0,1,0,379,357, 2.3 ,31,29,22,18,81227,44,56,65
C0108464041,direct,1,1,1,2,859,387, 2.0 ,31,29,23,17,69516,25,75,79
C0108959758,organic_search,1,1,0,1,264,93, 2.1 ,31,29,22,18,64541,28,72,77
C0102071254,direct,0,0,1,4,968,390, 2.2 ,31,29,22,18,32498,56,44,82
C0105469900,organic_search,1,1,0,5,393,84, 2.4 ,32,29,23,16,26161,21,79,59
C0106434164,em,0,0,1,2,333,114, 2.5 ,31,29,23,17,83993,51,49,72
C0106270117,direct,1,0,0,2,460,80, 2.6 ,32,30,22,16,61461,31,69,45
C0107480236,em,1,0,0,2,194,420, 2.1 ,32,30,22,16,58246,58,42,56
C0103950941,direct,0,0,1,5,264,293, 2.4 ,31,29,23,17,62204,47,53,72
C0104269443,direct,1,1,0,0,659,351, 2.5 ,31,29,22,18,84053,50,50,53
C0107921034,dm,1,1,1,5,665,96, 2.0 ,32,30,22,16,39623,52,48,63
C0104873429,direct,1,1,0,5,400,329, 2.2 ,31,29,22,18,72549,59,41,88
C0105339806,direct,1,0,0,5,493,194, 2.2 ,32,30,23,15,81221,36,64,71
C0104435533,dm,0,0,0,2,888,339, 2.5 ,31,29,23,17,51211,52,48,55
C0104680329,organic_search,0,1,0,5,734,210, 2.1 ,32,30,22,16,66352,59,41,62
C0104072544,organic_search,0,1,0,4,1080,93, 2.4 ,32,30,23,15,58142,58,42,77
C0105177478,direct,0,0,1,4,1058,330, 2.3 ,31,29,23,17,79962,57,43,74
C0106244658,dm,1,1,0,4,649,283, 2.3 ,31,29,23,17,57863,28,72,65
C0107543711,organic_search,0,0,1,0,657,368, 2.2 ,31,29,23,17,45260,64,36,59
C0103678681,dm,0,1,0,2,830,415, 2.5 ,31,29,23,17,24475,29,71,61
C0103793739,display_ad,1,0,0,5,529,436, 2.2 ,31,29,23,17,17638,51,49,68
C0102385521,organic_search,1,0,0,5,1075,448, 2.1 ,32,30,23,15,76431,53,47,56
C0103129516,display_ad,0,1,1,2,340,195, 2.4 ,32,30,23,15,66963,32,68,19
C0102668917,direct,1,1,0,1,370,387, 2.6 ,32,29,22,17,29262,50,50,56
C0108942061,em,1,1,0,3,649,436, 2.3 ,32,30,23,15,51901,60,40,92
C0107648770,display_ad,0,0,0,3,588,426, 2.1 ,32,30,22,16,73263,25,75,30
C0106751976,direct,1,1,1,2,531,242, 2.4 ,32,29,23,16,31160,34,66,59
C0105329693,organic_search,1,1,0,3,779,441, 2.2 ,32,30,23,15,28622,54,46,36
C0102110905,direct,1,0,1,4,601,320, 2.5 ,31,30,23,16,53841,30,70,24
C0104641575,organic_search,1,1,0,5,741,362, 2.6 ,32,29,22,17,49682,65,35,75
C0104409316,direct,1,0,0,3,707,135, 2.2 ,32,29,22,17,25214,45,55,49
C0108771474,direct,1,0,1,2,595,245, 2.1 ,31,30,22,17,17253,59,41,37
C0104519725,organic_search,1,1,1,3,492,286, 2.3 ,32,29,23,16,74170,60,40,92
C0107440342,direct,1,0,1,2,710,127, 2.4 ,31,29,22,18,78343,65,35,29
C0105054266,em,1,1,0,2,921,425, 2.4 ,31,30,23,16,67743,54,46,80
C0105478152,direct,0,1,1,1,269,421, 2.4 ,32,30,22,16,74142,67,33,71
C0107893803,direct,0,1,1,1,643,373, 2.4 ,31,29,23,17,48119,51,49,58
C0107579861,dm,1,1,0,4,724,318, 2.3 ,31,29,22,18,87106,62,38,87
C0104885778,organic_search,0,1,1,3,239,283, 2.3 ,32,30,22,16,29672,45,55,71
C0108667184,organic_search,0,0,1,5,982,342, 2.3 ,32,29,22,17,62791,64,36,47
C0108669798,direct,0,0,1,2,1104,451, 2.2 ,31,30,22,17,85096,27,73,49
C0103565012,organic_search,0,0,1,5,467,235, 2.4 ,32,29,23,16,60667,33,67,70
C0102113094,direct,1,1,1,4,1076,471, 2.2 ,31,29,22,18,29778,48,52,66
C0103528022,direct,1,1,1,4,426,282, 2.0 ,31,30,23,16,33865,52,48,30
C0105369067,direct,0,1,0,5,971,297, 2.1 ,32,29,23,16,34665,46,54,71
C0105011421,organic_search,0,0,0,4,760,342, 2.2 ,31,30,23,16,40224,50,50,85
C0102368371,organic_search,1,0,1,3,804,182, 2.5 ,31,29,22,18,46587,33,67,24
C0107522866,direct,1,0,0,2,913,372, 2.1 ,31,29,23,17,86835,40,60,61
C0107521128,display_ad,0,1,0,3,666,312, 2.2 ,31,29,22,18,50602,62,38,38
C0104317238,dm,1,1,1,2,794,470, 2.3 ,32,30,22,16,84748,37,63,66
C0105730640,direct,0,1,0,2,1074,394, 2.3 ,31,30,23,16,84988,30,70,85
C0102424110,organic_search,1,1,1,3,778,102, 2.4 ,32,29,23,16,40651,54,46,22
C0104483821,em,1,0,1,1,473,308, 2.4 ,31,29,23,17,42870,47,53,84
C0108460678,direct,1,0,1,4,191,174, 2.2 ,32,30,23,15,56492,57,43,59
C0106959658,em,0,1,1,4,249,237, 2.1 ,32,29,23,16,87242,47,53,56
C0104329731,direct,1,0,1,1,473,206, 2.3 ,31,29,22,18,80776,44,56,74
C0108795557,direct,1,0,0,0,562,447, 2.6 ,32,30,23,15,52863,46,54,49
C0106521721,organic_search,1,1,0,2,856,379, 2.1 ,32,30,22,16,22938,37,63,79
C0103984928,organic_search,0,1,0,2,323,150, 2.3 ,32,29,22,17,65747,52,48,82
C0103484262,dm,1,0,1,1,904,385, 2.5 ,32,30,22,16,48836,53,47,67
