id,nnights,nadults,nchildren,planning,sex,age,education,income,region,shopping,antiquing,scenery,eatfine,eatcasual,eatfamstyle,eatfastfood,museums,indoorpool,outdoorpool,hiking,gambling,boatswim,fishing,golfing,boattours,rideducks,amusepark,minigolf,gocarting,waterpark,circusworld,tbskishow,helicopter,horseride,standrock,outattract,nearbyattract,movietheater,concerttheater,barpubdance,shopbroadway,bungeejumping
11,0,2,No kids,This Week,Female,35-44,HS Grad or Less,Lower Income,Milwaukee,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
12,0,2,No kids,This Week,Male,LT 25,College Grad,Lower Income,Madison,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO
13,4+,2,3,One Month or More Ago,Female,25-34,Some College,Lower Income,Chicago,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,NO,YES,NO
14,3,5+,2,This Week,Female,25-34,College Grad,Lower Income,Chicago,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO
15,0,5+,No kids,One Month or More Ago,Female,65+,HS Grad or Less,,Chicago,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
16,1,4,No kids,One Month or More Ago,Female,35-44,HS Grad or Less,Lower Income,Chicago,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO,YES,NO,YES,NO
17,3,2,3,This Month,Male,35-44,HS Grad or Less,Middle Income,Minneapolis/StPaul,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
18,0,2,3,This Week,Male,35-44,College Grad,Lower Income,Madison,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
19,1,2,2,This Month,Female,25-34,Some College,Middle Income,Other,YES,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO
20,0,2,5+,This Month,Female,35-44,College Grad,Middle Income,Madison,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
21,3,2,3,This Month,Male,45-54,Some College,Lower Income,Chicago,NO,NO,YES,NO,NO,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,YES,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO
22,3,2,1,One Month or More Ago,Male,45-54,Some College,Middle Income,Milwaukee,YES,NO,YES,NO,NO,YES,YES,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO
23,0,2,2,This Week,Female,25-34,HS Grad or Less,Lower Income,Other Wisconsin,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
24,0,2,2,This Month,Female,35-44,Post Grad,Middle Income,Milwaukee,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
25,1,2,2,This Month,Male,35-44,Post Grad,Middle Income,Chicago,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
26,3,5+,4,This Month,Female,25-34,HS Grad or Less,,Other,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO
27,0,2,2,This Week,Female,35-44,Some College,Lower Income,Milwaukee,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
28,2,2,1,This Month,Female,35-44,Some College,Upper Income,Minneapolis/StPaul,YES,NO,NO,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO
29,3,2,2,One Month or More Ago,Female,35-44,Some College,Lower Income,Minneapolis/StPaul,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,YES,NO,NO,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,YES,NO,NO,YES,YES,NO
30,0,5+,5+,This Month,Female,LT 25,Some College,Middle Income,Other Wisconsin,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
31,4+,5+,5+,One Month or More Ago,Female,25-34,College Grad,Middle Income,Chicago,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES
32,0,2,5+,This Week,Female,35-44,HS Grad or Less,Lower Income,Other Wisconsin,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
33,0,3,5+,This Week,Female,25-34,Some College,Lower Income,Milwaukee,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
34,0,1,4,One Month or More Ago,Female,35-44,Some College,Middle Income,Other Wisconsin,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO
35,3,3,No kids,One Month or More Ago,Male,35-44,Some College,Lower Income,Milwaukee,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
36,0,5+,No kids,This Month,Female,45-54,Some College,Middle Income,Other Wisconsin,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
37,1,2,No kids,This Week,Male,65+,HS Grad or Less,Lower Income,Other,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
38,4+,4,No kids,One Month or More Ago,Male,65+,HS Grad or Less,Lower Income,Other,YES,NO,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,YES,YES,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO
39,4+,4,4,One Month or More Ago,Male,45-54,Post Grad,Lower Income,Other,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
40,1,2,2,One Month or More Ago,Female,25-34,HS Grad or Less,Lower Income,Chicago,YES,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO
41,2,3,No kids,This Month,Female,45-54,HS Grad or Less,Middle Income,Minneapolis/StPaul,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO
42,0,5+,No kids,One Month or More Ago,Male,65+,HS Grad or Less,Lower Income,Other,YES,NO,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
43,4+,2,1,One Month or More Ago,Female,35-44,Some College,Middle Income,Other Wisconsin,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO
44,2,2,3,This Month,Female,25-34,HS Grad or Less,Middle Income,Other,YES,NO,YES,NO,YES,YES,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO
45,0,4,1,This Week,Female,35-44,College Grad,Upper Income,Other,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
46,4+,3,3,This Month,Female,25-34,HS Grad or Less,Lower Income,Other,YES,YES,NO,YES,YES,YES,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,NO
47,4+,2,3,This Month,Female,35-44,Some College,Lower Income,Other,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO
48,2,3,5+,This Month,Male,65+,HS Grad or Less,Middle Income,Milwaukee,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
49,2,5+,No kids,One Month or More Ago,Female,65+,HS Grad or Less,Middle Income,Other,YES,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO
50,3,4,No kids,This Month,Female,65+,HS Grad or Less,Middle Income,Milwaukee,YES,NO,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO
51,2,2,3,One Month or More Ago,Male,25-34,Some College,Middle Income,Other Wisconsin,YES,NO,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
52,2,3,No kids,This Month,Male,LT 25,Some College,Upper Income,Chicago,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,NO,YES,YES,NO
53,0,2,1,This Week,Female,35-44,HS Grad or Less,Middle Income,Chicago,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
54,3,2,1,This Month,Female,35-44,HS Grad or Less,Middle Income,Chicago,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO
55,2,1,4,One Month or More Ago,Male,45-54,HS Grad or Less,Lower Income,Chicago,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO
56,0,2,1,This Month,Female,25-34,HS Grad or Less,Middle Income,Madison,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,NO,YES,YES,NO
57,2,2,3,One Month or More Ago,Female,35-44,Post Grad,Middle Income,Other,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO
58,3,2,No kids,One Month or More Ago,Male,25-34,HS Grad or Less,Lower Income,Chicago,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,YES,YES,NO,YES,NO,NO
59,1,2,No kids,This Month,Male,35-44,Some College,Middle Income,Chicago,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
60,2,2,No kids,One Month or More Ago,Male,45-54,Some College,Middle Income,Other,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
61,3,2,2,This Week,Female,45-54,College Grad,Upper Income,Other,YES,NO,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,YES,NO,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,YES,NO
62,2,3,3,This Month,Male,35-44,Some College,Lower Income,Milwaukee,YES,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
63,3,2,2,One Month or More Ago,Male,25-34,Some College,Middle Income,Milwaukee,YES,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
64,1,3,No kids,This Week,Male,LT 25,HS Grad or Less,Lower Income,Milwaukee,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO
65,2,5+,2,This Month,Female,35-44,HS Grad or Less,Lower Income,Other,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
66,0,2,No kids,This Week,Female,45-54,HS Grad or Less,Lower Income,Chicago,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
67,2,2,No kids,This Week,Male,25-34,HS Grad or Less,Lower Income,Other Wisconsin,YES,NO,YES,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,YES,NO,NO,YES,YES,NO
68,2,4,No kids,One Month or More Ago,Female,25-34,Some College,Lower Income,Milwaukee,YES,NO,YES,NO,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
69,2,2,No kids,This Month,Female,65+,Some College,,Chicago,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
70,2,4,No kids,One Month or More Ago,Female,25-34,Post Grad,Lower Income,Other,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
71,0,5+,5+,This Month,Female,35-44,Post Grad,Middle Income,Milwaukee,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
72,0,2,4,This Week,Female,35-44,HS Grad or Less,Lower Income,Madison,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO
73,3,2,No kids,One Month or More Ago,Male,25-34,HS Grad or Less,Lower Income,Milwaukee,YES,NO,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,YES,NO
74,0,1,1,This Week,Female,35-44,Post Grad,Upper Income,Minneapolis/StPaul,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO
75,2,2,No kids,This Month,Male,55-64,HS Grad or Less,Lower Income,Other,YES,NO,YES,NO,YES,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,YES,NO,NO,YES,NO,YES,NO
76,4+,2,No kids,This Week,Male,55-64,Some College,Lower Income,Chicago,YES,NO,YES,NO,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO,NO,YES,YES,YES,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
77,0,2,No kids,This Week,Male,65+,Some College,,Other,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
78,2,2,No kids,This Week,Male,LT 25,Some College,Lower Income,Chicago,YES,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO
79,0,3,No kids,This Week,Female,35-44,HS Grad or Less,Lower Income,Other,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO
80,1,4,3,This Month,Female,25-34,Some College,,Milwaukee,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO
81,4+,2,2,One Month or More Ago,Female,35-44,Some College,Lower Income,Other,YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES,NO
82,2,1,1,This Week,Female,45-54,Some College,Upper Income,Madison,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
83,2,2,2,This Month,Female,25-34,HS Grad or Less,Upper Income,Other Wisconsin,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO
84,2,1,2,This Month,Female,45-54,HS Grad or Less,,Madison,YES,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
85,3,2,2,One Month or More Ago,Male,35-44,College Grad,Middle Income,Chicago,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,NO
86,3,1,3,One Month or More Ago,Female,35-44,Some College,Lower Income,Chicago,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
87,2,2,1,One Month or More Ago,Male,35-44,Some College,Lower Income,Chicago,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,NO,YES,YES,NO
88,3,2,2,One Month or More Ago,Female,35-44,Post Grad,Middle Income,Chicago,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO
89,4+,2,1,One Month or More Ago,Female,35-44,Post Grad,Upper Income,Other,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO
90,3,1,2,This Week,Female,35-44,College Grad,Lower Income,Minneapolis/StPaul,NO,YES,YES,NO,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO
91,2,2,1,One Month or More Ago,Female,45-54,Some College,Lower Income,Other,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO
92,2,2,2,This Month,Female,25-34,Some College,Lower Income,Other,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO
93,2,2,3,One Month or More Ago,Male,35-44,Some College,Middle Income,Other,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
94,1,2,No kids,This Week,Female,65+,HS Grad or Less,,Chicago,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO
95,1,2,2,This Week,Female,55-64,Some College,Lower Income,Minneapolis/StPaul,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO
96,0,3,1,One Month or More Ago,Female,35-44,College Grad,Middle Income,Milwaukee,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
97,3,2,2,One Month or More Ago,Female,45-54,HS Grad or Less,Middle Income,Other Wisconsin,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,YES
98,4+,2,2,One Month or More Ago,Male,45-54,Some College,Middle Income,Chicago,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO
