data.set,total.cost,lot.sale.days,overage,mileage,vehicle.type,domestic.import,vehicle.age,vehicle.age.group,color.set,makex,state,make.model
TRAIN,5590,26,NO,103323,FAMILY.MEDIUM,Domestic,5,FIVE,RED,BUICK,FL,BUICK.REGAL
TRAIN,5768,71,NO,46792,LUXURY,Import,4,FOUR,GOLD,TOYOTA,FL,TOYOTA.COROLLA
TRAIN,4824,45,NO,76213,LUXURY,Import,5,FIVE,RED,NISSAN,FL,NISSAN.SENTRA
TRAIN,4095,2,NO,89709,LUXURY,Import,6,SIX,GREEN,MAZDA,FL,MAZDA.626
TRAIN,5500,3,NO,25763,FAMILY.SMALL,Import,2,ONE-THREE,GREEN,KIA,NM,KIA.SEPHIA
TRAIN,4302,1,NO,92049,LUXURY,Import,5,FIVE,WHITE,NISSAN,FL,NISSAN.SENTRA
TRAIN,3196,5,NO,88600,FAMILY.MEDIUM,Domestic,8,SEVEN+,WHITE,BUICK,AZ,BUICK.CENTURY
TRAIN,4977,0,NO,81929,FAMILY.MEDIUM,Import,5,FIVE,WHITE,MAZDA,TX,MAZDA.626
TRAIN,4391,5,NO,65530,FAMILY.SMALL,Import,7,SEVEN+,WHITE,MAZDA,FL,MAZDA.626
TRAIN,4570,2,NO,75830,FAMILY.SMALL,Import,3,ONE-THREE,BLUE,KIA,CA,KIA.SEPHIA
TRAIN,4889,55,NO,66587,FAMILY.MEDIUM,Domestic,6,SIX,GOLD,OTHER,AZ,EAGLE.VISION
TRAIN,4970,48,NO,93738,FAMILY.MEDIUM,Domestic,6,SIX,BLACK,BUICK,FL,BUICK.LESABRE
TRAIN,4447,4,NO,86946,FAMILY.SMALL,Import,6,SIX,GOLD,MAZDA,FL,MAZDA.626
TRAIN,4431,0,NO,93768,FAMILY.LARGE,Domestic,6,SIX,GOLD,OLDSMOBILE,VA,OLDSMOBILE.88
TRAIN,5558,9,NO,106102,LUXURY,Import,9,SEVEN+,WHITE,TOYOTA,CA,TOYOTA.CAMRY
TRAIN,4218,15,NO,74021,FAMILY.SMALL,Import,4,FOUR,BLUE,MAZDA,TX,MAZDA.PROTEGE
TRAIN,4601,3,NO,100837,LUXURY,Import,8,SEVEN+,SILVER,OTHER,AZ,INFINITI.G20
TRAIN,4321,7,NO,109049,FAMILY.SMALL,Import,5,FIVE,GREEN,GEO,CA,GEO.PRIZM
TRAIN,4636,100,YES,58519,ECONOMY,Import,4,FOUR,GOLD,KIA,NV,KIA.SEPHIA
TRAIN,4817,22,NO,107040,LUXURY,Import,6,SIX,SILVER,HONDA,FL,HONDA.CIVIC
TRAIN,3539,11,NO,76569,FAMILY.MEDIUM,Domestic,7,SEVEN+,WHITE,BUICK,AZ,BUICK.SKYLARK
TRAIN,7063,3,NO,72809,FAMILY.SMALL,Domestic,3,ONE-THREE,PURPLE,FORD,TX,FORD.CONTOUR
TRAIN,4402,61,NO,80060,LUXURY,Import,4,FOUR,BLACK,TOYOTA,TX,TOYOTA.COROLLA
TRAIN,4349,66,NO,72431,FAMILY.MEDIUM,Domestic,5,FIVE,PURPLE,CHEVROLET,GA,CHEVROLET.CORSICA
TRAIN,3558,21,NO,84965,FAMILY.MEDIUM,Domestic,8,SEVEN+,BLUE,CHEVROLET,AZ,CHEVROLET.LUMINA
TRAIN,5060,12,NO,56757,ECONOMY,Import,4,FOUR,GREEN,KIA,TX,KIA.SEPHIA
TRAIN,4710,32,NO,72248,FAMILY.MEDIUM,Domestic,3,ONE-THREE,GREEN,BUICK,TX,BUICK.SKYLARK
TRAIN,5260,16,NO,63541,FAMILY.MEDIUM,Domestic,4,FOUR,WHITE,PONTIAC,AZ,PONTIAC.GRAND AM
TRAIN,5620,66,NO,89822,ECONOMY,Import,4,FOUR,BLACK,NISSAN,TX,NISSAN.SENTRA
TRAIN,3882,2,NO,75749,FAMILY.MEDIUM,Domestic,5,FIVE,BLUE,FORD,FL,FORD.TAURUS
TRAIN,5580,7,NO,76181,LUXURY,Import,7,SEVEN+,GREEN,TOYOTA,FL,TOYOTA.CAMRY
TRAIN,5080,129,YES,99057,FAMILY.MEDIUM,Domestic,4,FOUR,GREEN,OLDSMOBILE,NV,OLDSMOBILE.CUTLASS SUPREME
TRAIN,4291,32,NO,100848,FAMILY.MEDIUM,Domestic,5,FIVE,BLUE,CHEVROLET,FL,CHEVROLET.LUMINA
TRAIN,3991,10,NO,78499,ECONOMY,Import,4,FOUR,SILVER,OTHER,GA,SUZUKI.ESTEEM
TRAIN,5193,82,NO,96779,FAMILY.LARGE,Domestic,5,FIVE,WHITE,CHRYSLER,TX,CHRYSLER.CONCORDE
TRAIN,5577,3,NO,57879,ECONOMY,Domestic,4,FOUR,WHITE,FORD,VA,FORD.ESCORT
TRAIN,4370,218,YES,82771,ECONOMY,Domestic,7,SEVEN+,WHITE,CHEVROLET,NM,CHEVROLET.CAVALIER
TRAIN,3891,34,NO,76353,FAMILY.SMALL,Domestic,7,SEVEN+,PURPLE,FORD,CA,FORD.ESCORT
TRAIN,6101,15,NO,80485,FAMILY.MEDIUM,Domestic,5,FIVE,RED,FORD,NV,FORD.TAURUS
TRAIN,3157,8,NO,70954,FAMILY.LARGE,Domestic,8,SEVEN+,WHITE,CHEVROLET,AZ,CHEVROLET.LUMINA
TRAIN,6430,7,NO,57480,FAMILY.MEDIUM,Domestic,5,FIVE,GREEN,MERCURY,TX,MERCURY.SABLE
TRAIN,7578,128,YES,74255,FAMILY.MEDIUM,Import,5,FIVE,WHITE,MITSUBISHI,NV,MITSUBISHI.GALANT
TRAIN,3553,20,NO,61172,FAMILY.LARGE,Domestic,6,SIX,SILVER,FORD,CA,FORD.TAURUS
TRAIN,4958,15,NO,50982,FAMILY.MEDIUM,Domestic,3,ONE-THREE,BLUE,CHEVROLET,AZ,CHEVROLET.CAVALIER
TRAIN,4326,4,NO,90622,LUXURY,Domestic,7,SEVEN+,GREEN,DODGE,CA,DODGE.INTREPID
TRAIN,5301,116,YES,82594,FAMILY.MEDIUM,Domestic,5,FIVE,PURPLE,OLDSMOBILE,AZ,OLDSMOBILE.CIERA
TRAIN,5531,100,YES,81167,FAMILY.LARGE,Domestic,5,FIVE,WHITE,FORD,FL,FORD.CROWN VICTORIA
TRAIN,3501,4,NO,94224,FAMILY.LARGE,Domestic,9,SEVEN+,GOLD,BUICK,CA,BUICK.LESABRE
TRAIN,6395,10,NO,65298,FAMILY.SMALL,Import,2,ONE-THREE,WHITE,MITSUBISHI,CA,MITSUBISHI.MIRAGE
TRAIN,4014,10,NO,55762,FAMILY.MEDIUM,Domestic,5,FIVE,PURPLE,FORD,CA,FORD.CONTOUR
TRAIN,5728,166,YES,80519,FAMILY.MEDIUM,Domestic,7,SEVEN+,SILVER,MERCURY,TX,MERCURY.SABLE
TRAIN,5992,136,YES,96373,FAMILY.LARGE,Domestic,6,SIX,SILVER,DODGE,TX,DODGE.INTREPID
TRAIN,6434,6,NO,76233,ECONOMY,Domestic,6,SIX,BLACK,CHRYSLER,TX,CHRYSLER.CONCORDE
TRAIN,3328,21,NO,57723,ECONOMY,Import,4,FOUR,PURPLE,KIA,TX,KIA.SEPHIA
TRAIN,5551,105,YES,85924,FAMILY.MEDIUM,Domestic,5,FIVE,PURPLE,CHEVROLET,AZ,CHEVROLET.CORSICA
TRAIN,6169,21,NO,75113,LUXURY,Domestic,4,FOUR,GREEN,CHRYSLER,TX,CHRYSLER.LHS
TRAIN,5344,80,NO,106958,LUXURY,Import,6,SIX,GOLD,NISSAN,AZ,NISSAN.ALTIMA
TRAIN,5538,123,YES,86819,FAMILY.LARGE,Domestic,6,SIX,GREEN,OLDSMOBILE,CA,OLDSMOBILE.CUTLASS SUPREME
TRAIN,4702,25,NO,86433,FAMILY.MEDIUM,Domestic,4,FOUR,SILVER,CHEVROLET,CA,CHEVROLET.LUMINA
TRAIN,4755,38,NO,63094,FAMILY.LARGE,Domestic,7,SEVEN+,GREEN,PONTIAC,CA,PONTIAC.GRAND AM
TRAIN,4362,2,NO,87152,FAMILY.MEDIUM,Domestic,7,SEVEN+,GREEN,PONTIAC,FL,PONTIAC.BONNEVILLE
TRAIN,4420,7,NO,85877,FAMILY.SMALL,Import,9,SEVEN+,BLUE,HONDA,TX,HONDA.CIVIC
TRAIN,4487,3,NO,87923,FAMILY.LARGE,Domestic,5,FIVE,SILVER,CHEVROLET,TX,CHEVROLET.LUMINA
TRAIN,4959,49,NO,52279,LUXURY,Import,5,FIVE,GREEN,TOYOTA,TX,TOYOTA.TERCEL
TRAIN,4872,53,NO,61318,FAMILY.SMALL,Import,3,ONE-THREE,WHITE,HYUNDAI,CA,HYUNDAI.ACCENT
TRAIN,5312,37,NO,94774,FAMILY.LARGE,Domestic,4,FOUR,GREEN,FORD,NM,FORD.CROWN VICTORIA
TRAIN,4446,116,YES,64722,FAMILY.MEDIUM,Domestic,8,SEVEN+,PURPLE,PONTIAC,CA,PONTIAC.GRAND AM
TRAIN,4820,2,NO,77792,FAMILY.MEDIUM,Domestic,6,SIX,BLUE,OLDSMOBILE,FL,OLDSMOBILE.CUTLASS SUPREME
TRAIN,3907,4,NO,62770,FAMILY.SMALL,Domestic,6,SIX,WHITE,MERCURY,AZ,MERCURY.TRACER
TRAIN,3406,2,NO,65441,FAMILY.MEDIUM,Domestic,6,SIX,BLACK,MERCURY,AZ,MERCURY.TRACER
TRAIN,4967,15,NO,77524,LUXURY,Import,5,FIVE,WHITE,MAZDA,FL,MAZDA.PROTEGE
TRAIN,3644,6,NO,84489,FAMILY.LARGE,Domestic,7,SEVEN+,BLUE,DODGE,TX,DODGE.INTREPID
TRAIN,4651,120,YES,75798,FAMILY.LARGE,Domestic,8,SEVEN+,GREEN,BUICK,CA,BUICK.LESABRE
TRAIN,3763,14,NO,63809,FAMILY.MEDIUM,Domestic,6,SIX,BLUE,FORD,FL,FORD.CONTOUR
TRAIN,4892,23,NO,86592,FAMILY.LARGE,Domestic,6,SIX,BLUE,OLDSMOBILE,CA,OLDSMOBILE.CUTLASS SUPREME
TRAIN,5653,27,NO,80437,FAMILY.MEDIUM,Domestic,5,FIVE,GREEN,OLDSMOBILE,GA,OLDSMOBILE.CUTLASS SUPREME
TRAIN,6593,94,YES,22239,FAMILY.MEDIUM,Import,1,ONE-THREE,WHITE,DAEWOO,TX,DAEWOO.LANOS
TRAIN,4332,2,NO,62855,ECONOMY,Domestic,4,FOUR,RED,DODGE,NM,DODGE.NEON
TRAIN,4932,42,NO,68941,FAMILY.SMALL,Domestic,4,FOUR,GREEN,FORD,CA,FORD.ESCORT
TRAIN,5060,6,NO,71075,FAMILY.LARGE,Domestic,4,FOUR,WHITE,DODGE,TX,DODGE.INTREPID
TRAIN,4804,10,NO,98532,LUXURY,Import,8,SEVEN+,WHITE,NISSAN,FL,NISSAN.ALTIMA
TRAIN,5921,96,YES,93490,FAMILY.SMALL,Import,5,FIVE,SILVER,NISSAN,CA,NISSAN.SENTRA
TRAIN,4497,1,NO,76554,FAMILY.SMALL,Import,6,SIX,GOLD,GEO,CA,GEO.PRIZM
TRAIN,4787,9,NO,68451,FAMILY.MEDIUM,Import,6,SIX,BLUE,MITSUBISHI,CA,MITSUBISHI.GALANT
TRAIN,4797,17,NO,89854,FAMILY.LARGE,Domestic,5,FIVE,BLUE,CHEVROLET,GA,CHEVROLET.LUMINA
TRAIN,4449,10,NO,68143,FAMILY.LARGE,Domestic,9,SEVEN+,PURPLE,CHEVROLET,CA,CHEVROLET.CAPRICE CLASSIC
TRAIN,3332,13,NO,65759,FAMILY.MEDIUM,Domestic,7,SEVEN+,GOLD,OLDSMOBILE,AZ,OLDSMOBILE.CIERA
TRAIN,3758,31,NO,97694,FAMILY.LARGE,Domestic,6,SIX,BLUE,BUICK,CA,BUICK.LESABRE
TRAIN,4591,22,NO,85129,FAMILY.MEDIUM,Domestic,6,SIX,PURPLE,DODGE,FL,DODGE.INTREPID
TRAIN,5544,44,NO,65822,FAMILY.SMALL,Domestic,3,ONE-THREE,PURPLE,CHEVROLET,TX,CHEVROLET.CAVALIER
TRAIN,5308,14,NO,93927,FAMILY.LARGE,Domestic,4,FOUR,BLUE,CHEVROLET,AZ,CHEVROLET.LUMINA
TRAIN,4808,11,NO,66696,ECONOMY,Domestic,3,ONE-THREE,RED,FORD,TX,FORD.ESCORT
TRAIN,4036,191,YES,74504,ECONOMY,Domestic,7,SEVEN+,WHITE,DODGE,NM,DODGE.SPIRIT
TRAIN,3681,5,NO,94583,FAMILY.LARGE,Domestic,6,SIX,WHITE,OLDSMOBILE,AZ,OLDSMOBILE.CUTLASS SUPREME
TRAIN,4040,7,NO,91681,LUXURY,Import,9,SEVEN+,WHITE,NISSAN,FL,NISSAN.MAXIMA
TRAIN,4662,19,NO,73260,ECONOMY,Domestic,4,FOUR,GREEN,FORD,TX,FORD.ESCORT
TRAIN,4990,31,NO,73723,FAMILY.LARGE,Domestic,5,FIVE,WHITE,PONTIAC,CA,PONTIAC.GRAND AM
TRAIN,2342,20,NO,82718,FAMILY.MEDIUM,Domestic,8,SEVEN+,PURPLE,BUICK,CA,BUICK.REGAL
TRAIN,4476,0,NO,80611,FAMILY.MEDIUM,Domestic,5,FIVE,GREEN,FORD,FL,FORD.CONTOUR
TRAIN,4459,24,NO,79593,FAMILY.SMALL,Domestic,6,SIX,BLUE,FORD,TX,FORD.CONTOUR
TRAIN,5175,16,NO,81479,FAMILY.SMALL,Domestic,5,FIVE,RED,PONTIAC,TX,PONTIAC.GRAND AM
TRAIN,5426,148,YES,78409,FAMILY.SMALL,Domestic,4,FOUR,WHITE,FORD,GA,FORD.CONTOUR
TRAIN,4360,30,NO,80149,FAMILY.MEDIUM,Domestic,5,FIVE,WHITE,CHEVROLET,TX,CHEVROLET.CAVALIER
TRAIN,5410,100,YES,80564,FAMILY.MEDIUM,Domestic,5,FIVE,GREEN,FORD,FL,FORD.TAURUS
TRAIN,4987,15,NO,55045,FAMILY.SMALL,Domestic,4,FOUR,WHITE,BUICK,TX,BUICK.SKYLARK
TRAIN,6283,8,NO,84967,FAMILY.LARGE,Domestic,6,SIX,GOLD,PONTIAC,VA,PONTIAC.BONNEVILLE
TRAIN,6105,79,NO,92017,FAMILY.MEDIUM,Domestic,3,ONE-THREE,SILVER,CHEVROLET,TX,CHEVROLET.MALIBU
TRAIN,5917,189,YES,91287,FAMILY.MEDIUM,Domestic,4,FOUR,BLUE,OLDSMOBILE,TX,OLDSMOBILE.ACHIEVA
TRAIN,3798,22,NO,57786,FAMILY.SMALL,Domestic,5,FIVE,WHITE,CHEVROLET,TX,CHEVROLET.CORSICA
TRAIN,4873,9,NO,77054,LUXURY,Import,5,FIVE,BLACK,NISSAN,TX,NISSAN.ALTIMA
TRAIN,5755,107,YES,84604,FAMILY.SMALL,Import,4,FOUR,GREEN,GEO,CA,GEO.PRIZM
TRAIN,4866,6,NO,60574,LUXURY,Import,4,FOUR,GREEN,NISSAN,FL,NISSAN.SENTRA
TRAIN,4406,31,NO,94061,FAMILY.MEDIUM,Domestic,5,FIVE,GREEN,FORD,FL,FORD.TAURUS
TRAIN,4934,193,YES,80881,ECONOMY,Import,5,FIVE,RED,GEO,FL,GEO.PRIZM
TRAIN,4200,10,NO,103435,FAMILY.MEDIUM,Domestic,4,FOUR,WHITE,FORD,FL,FORD.TAURUS
TRAIN,4649,1,NO,74274,FAMILY.SMALL,Domestic,6,SIX,BLUE,CHEVROLET,TX,CHEVROLET.CAVALIER
TRAIN,4363,11,NO,82538,LUXURY,Import,5,FIVE,GOLD,MAZDA,FL,MAZDA.PROTEGE
TRAIN,5165,4,NO,64271,FAMILY.SMALL,Domestic,4,FOUR,GREEN,PONTIAC,VA,PONTIAC.GRAND AM
TRAIN,4976,10,NO,87438,FAMILY.SMALL,Import,9,SEVEN+,GREEN,HONDA,AZ,HONDA.CIVIC
TRAIN,3382,22,NO,98443,FAMILY.MEDIUM,Domestic,6,SIX,BLUE,OLDSMOBILE,GA,OLDSMOBILE.ACHIEVA
TRAIN,5091,14,NO,64849,FAMILY.MEDIUM,Domestic,6,SIX,WHITE,PONTIAC,TX,PONTIAC.GRAND PRIX
TRAIN,3360,10,NO,99294,LUXURY,Domestic,6,SIX,GREEN,PONTIAC,CA,PONTIAC.BONNEVILLE
TRAIN,5061,23,NO,91464,FAMILY.LARGE,Domestic,4,FOUR,BLUE,CHEVROLET,TX,CHEVROLET.LUMINA
TRAIN,4892,79,NO,78073,FAMILY.MEDIUM,Domestic,4,FOUR,SILVER,FORD,FL,FORD.TAURUS
TRAIN,4843,2,NO,59803,FAMILY.SMALL,Domestic,4,FOUR,PURPLE,CHEVROLET,CA,CHEVROLET.CAVALIER
TRAIN,5111,9,NO,35578,ECONOMY,Domestic,4,FOUR,PURPLE,FORD,GA,FORD.ESCORT
TRAIN,4889,119,YES,61182,ECONOMY,Domestic,6,SIX,PURPLE,FORD,NV,FORD.ESCORT
TRAIN,5941,139,YES,80706,FAMILY.MEDIUM,Domestic,3,ONE-THREE,WHITE,FORD,VA,FORD.TAURUS
TRAIN,4064,0,NO,98717,FAMILY.MEDIUM,Domestic,8,SEVEN+,SILVER,OTHER,FL,EAGLE.VISION
TRAIN,6172,17,NO,89416,LUXURY,Domestic,5,FIVE,PURPLE,CHRYSLER,CA,CHRYSLER.LHS
TRAIN,5383,30,NO,73944,ECONOMY,Domestic,5,FIVE,PURPLE,CHEVROLET,FL,CHEVROLET.CAVALIER
TRAIN,4082,3,NO,86572,FAMILY.MEDIUM,Domestic,6,SIX,SILVER,CHEVROLET,FL,CHEVROLET.LUMINA
TRAIN,3303,189,YES,81282,ECONOMY,Domestic,8,SEVEN+,SILVER,FORD,VA,FORD.TEMPO
TRAIN,5309,13,NO,60355,ECONOMY,Domestic,4,FOUR,RED,DODGE,FL,DODGE.NEON
TRAIN,4931,3,NO,61941,ECONOMY,Import,4,FOUR,WHITE,MITSUBISHI,TX,MITSUBISHI.MIRAGE
TRAIN,4352,55,NO,78775,FAMILY.MEDIUM,Domestic,6,SIX,BLUE,PONTIAC,VA,PONTIAC.GRAND PRIX
TRAIN,4053,2,NO,75953,FAMILY.SMALL,Domestic,6,SIX,WHITE,FORD,CA,FORD.ESCORT
TRAIN,4126,2,NO,97980,FAMILY.SMALL,Import,7,SEVEN+,RED,NISSAN,AZ,NISSAN.SENTRA
TRAIN,7561,242,YES,105294,FAMILY.LARGE,Domestic,5,FIVE,RED,PONTIAC,AZ,PONTIAC.BONNEVILLE
TRAIN,4059,2,NO,102273,LUXURY,Import,8,SEVEN+,GREEN,NISSAN,FL,NISSAN.MAXIMA
TRAIN,5951,63,NO,98169,FAMILY.SMALL,Import,6,SIX,GREEN,TOYOTA,CA,TOYOTA.COROLLA
TRAIN,4163,97,YES,87231,FAMILY.MEDIUM,Domestic,7,SEVEN+,PURPLE,OLDSMOBILE,VA,OLDSMOBILE.CIERA
TRAIN,5734,99,YES,100486,FAMILY.MEDIUM,Domestic,7,SEVEN+,GREEN,CHRYSLER,AZ,CHRYSLER.LHS
TRAIN,5516,106,YES,98747,FAMILY.LARGE,Domestic,6,SIX,GREEN,BUICK,FL,BUICK.LESABRE
TRAIN,5111,7,NO,65716,FAMILY.SMALL,Domestic,3,ONE-THREE,WHITE,FORD,TX,FORD.CONTOUR
TRAIN,4281,14,NO,67052,FAMILY.SMALL,Domestic,5,FIVE,PURPLE,PONTIAC,TX,PONTIAC.GRAND AM
TRAIN,4327,21,NO,95889,FAMILY.LARGE,Domestic,8,SEVEN+,GOLD,FORD,CA,FORD.CROWN VICTORIA
TRAIN,5642,6,NO,70761,LUXURY,Domestic,4,FOUR,SILVER,DODGE,CA,DODGE.INTREPID
TRAIN,4350,32,NO,69590,FAMILY.MEDIUM,Domestic,5,FIVE,BLUE,DODGE,AZ,DODGE.NEON
TRAIN,5483,54,NO,75763,LUXURY,Import,6,SIX,BLACK,NISSAN,FL,NISSAN.ALTIMA
TRAIN,5311,51,NO,89341,LUXURY,Import,5,FIVE,GREEN,NISSAN,TX,NISSAN.ALTIMA
TRAIN,3976,9,NO,96852,LUXURY,Import,6,SIX,RED,NISSAN,FL,NISSAN.SENTRA
TRAIN,4417,14,NO,71194,FAMILY.MEDIUM,Domestic,5,FIVE,PURPLE,FORD,VA,FORD.CONTOUR
TRAIN,4504,52,NO,94830,LUXURY,Import,6,SIX,GREEN,TOYOTA,TX,TOYOTA.COROLLA
TRAIN,4301,15,NO,77107,FAMILY.SMALL,Domestic,5,FIVE,BLUE,CHEVROLET,GA,CHEVROLET.CAVALIER
TRAIN,5305,86,NO,94109,FAMILY.MEDIUM,Domestic,6,SIX,WHITE,OLDSMOBILE,TX,OLDSMOBILE.CUTLASS SUPREME
TRAIN,4152,44,NO,81978,FAMILY.MEDIUM,Domestic,8,SEVEN+,PURPLE,OLDSMOBILE,FL,OLDSMOBILE.CIERA
TRAIN,6388,15,NO,87913,FAMILY.MEDIUM,Domestic,5,FIVE,SILVER,FORD,TX,FORD.TAURUS
TRAIN,5690,93,YES,57532,LUXURY,Import,7,SEVEN+,PURPLE,NISSAN,FL,NISSAN.SENTRA
TRAIN,4894,31,NO,86589,FAMILY.LARGE,Domestic,8,SEVEN+,GOLD,OLDSMOBILE,TX,OLDSMOBILE.88
TRAIN,4631,18,NO,63129,FAMILY.MEDIUM,Domestic,5,FIVE,GREEN,MERCURY,CA,MERCURY.MYSTIQUE
TRAIN,4901,12,NO,75131,FAMILY.MEDIUM,Domestic,4,FOUR,GREEN,FORD,FL,FORD.TAURUS
TRAIN,2273,11,NO,79210,FAMILY.SMALL,Import,6,SIX,WHITE,KIA,AZ,KIA.SEPHIA
TRAIN,4760,8,NO,76207,FAMILY.MEDIUM,Domestic,4,FOUR,RED,PONTIAC,FL,PONTIAC.GRAND AM
TRAIN,4922,121,YES,58942,FAMILY.MEDIUM,Domestic,6,SIX,BLUE,OLDSMOBILE,FL,OLDSMOBILE.CIERA
TRAIN,4780,28,NO,56763,FAMILY.MEDIUM,Domestic,4,FOUR,PURPLE,DODGE,AZ,DODGE.NEON
TRAIN,4746,18,NO,95741,LUXURY,Domestic,9,SEVEN+,PURPLE,CADILLAC,GA,CADILLAC.DEVILLE
TRAIN,5707,94,YES,79692,FAMILY.SMALL,Import,4,FOUR,SILVER,NISSAN,CA,NISSAN.SENTRA
TRAIN,5334,2,NO,71424,LUXURY,Import,5,FIVE,GOLD,TOYOTA,FL,TOYOTA.COROLLA
TRAIN,5035,2,NO,93647,FAMILY.MEDIUM,Domestic,5,FIVE,BLUE,DODGE,AZ,DODGE.INTREPID
TRAIN,4646,49,NO,66695,FAMILY.MEDIUM,Domestic,4,FOUR,GREEN,OLDSMOBILE,CA,OLDSMOBILE.ACHIEVA
TRAIN,3654,2,NO,102968,FAMILY.MEDIUM,Domestic,7,SEVEN+,GREEN,PONTIAC,FL,PONTIAC.GRAND PRIX
TRAIN,5071,34,NO,69390,FAMILY.MEDIUM,Domestic,5,FIVE,PURPLE,FORD,VA,FORD.TAURUS
TRAIN,5150,31,NO,94030,FAMILY.SMALL,Import,5,FIVE,PURPLE,MAZDA,NV,MAZDA.PROTEGE
TRAIN,7344,145,YES,94702,FAMILY.MEDIUM,Domestic,7,SEVEN+,WHITE,BUICK,GA,BUICK.REGAL
TRAIN,3612,1,NO,81570,FAMILY.LARGE,Domestic,9,SEVEN+,BLACK,FORD,GA,FORD.CROWN VICTORIA
TRAIN,4479,21,NO,74310,FAMILY.MEDIUM,Domestic,5,FIVE,SILVER,OLDSMOBILE,NV,OLDSMOBILE.CIERA
TRAIN,5665,75,NO,38339,ECONOMY,Import,3,ONE-THREE,PURPLE,KIA,NV,KIA.SEPHIA
TRAIN,4501,42,NO,91440,FAMILY.MEDIUM,Domestic,7,SEVEN+,WHITE,BUICK,AZ,BUICK.LESABRE
