pick,income,moves,age,education,employment,usage,nonpub,reachout,card
OCC,25-35,0,25-34,HS,F,3,YES,NO,NO
OCC,7.5-15,0,65+,Coll,R,27,NO,NO,NO
ATT,<7.5,0,55-64,HS,F,9,NO,NO,NO
ATT,15-25,1,18-24,HS,H,4,YES,NO,NO
OCC,15-25,0,55-64,HS,F,0,NO,NO,NO
OCC,15-25,1,25-34,Coll,F,18,NO,NO,NO
OCC,35-45,0,35-44,HS,F,0,NO,NO,NO
OCC,35-45,1,45-54,<HS,F,19,YES,NO,NO
OCC,7.5-15,1,45-54,HS,F,4,NO,NO,NO
OCC,15-25,0,65+,<HS,R,1,NO,NO,NO
OCC,15-25,2,55-64,BA,R,2,NO,NO,NO
OCC,15-25,1,55-64,Voc,F,0,NO,NO,NO
OCC,<7.5,0,65+,<HS,R,5,NO,NO,NO
OCC,7.5-15,0,65+,BA,R,7,NO,NO,YES
OCC,,0,45-54,HS,F,6,NO,NO,NO
OCC,,0,55-64,HS,P,9,NO,NO,YES
OCC,,1,55-64,<HS,H,8,NO,NO,NO
OCC,15-25,0,65+,HS,R,1,NO,NO,NO
OCC,25-35,1,35-44,Voc,F,4,NO,NO,YES
ATT,7.5-15,3,25-34,HS,U,0,YES,NO,NO
OCC,25-35,0,35-44,HS,F,2,YES,NO,NO
OCC,,1,35-44,<HS,H,5,YES,NO,YES
OCC,<7.5,0,65+,HS,D,1,NO,NO,YES
ATT,25-35,1,45-54,Voc,R,1,NO,NO,NO
OCC,35-45,3,35-44,HS,F,21,NO,NO,NO
ATT,7.5-15,2,18-24,HS,U,20,YES,NO,NO
OCC,45-75,0,35-44,Coll,F,5,YES,NO,YES
ATT,25-35,2,25-34,HS,F,1,YES,NO,NO
OCC,15-25,0,55-64,HS,R,1,NO,NO,NO
OCC,<7.5,0,55-64,<HS,R,1,NO,NO,YES
ATT,7.5-15,0,25-34,HS,P,2,NO,NO,NO
OCC,15-25,0,65+,Voc,R,0,NO,NO,NO
OCC,25-35,0,65+,Voc,R,0,NO,NO,NO
OCC,,0,65+,HS,R,0,NO,NO,NO
OCC,,0,55-64,Voc,F,57,NO,NO,YES
ATT,45-75,2,65+,>BA,R,23,NO,NO,YES
OCC,25-35,0,25-34,HS,F,3,NO,NO,NO
ATT,<7.5,1,25-34,HS,F,3,NO,NO,NO
OCC,<7.5,0,65+,<HS,R,5,NO,NO,NO
ATT,,0,65+,Coll,R,20,YES,NO,NO
OCC,25-35,0,18-24,<HS,F,8,YES,,
OCC,15-25,0,45-54,<HS,F,10,NO,NO,NO
ATT,15-25,2,35-44,HS,F,1,NO,NO,NO
OCC,25-35,0,35-44,BA,F,10,NO,NO,NO
OCC,>75,1,45-54,HS,F,12,NO,NO,NO
OCC,25-35,0,55-64,HS,F,1,NO,NO,NO
OCC,35-45,0,35-44,>BA,F,73,YES,NO,NO
OCC,15-25,0,55-64,Coll,R,0,,YES,NO
OCC,25-35,0,55-64,HS,H,5,NO,NO,NO
ATT,35-45,0,35-44,<HS,F,0,NO,NO,NO
OCC,7.5-15,1,65+,BA,R,8,NO,NO,YES
OCC,,0,65+,HS,D,0,NO,NO,NO
OCC,45-75,2,25-34,BA,F,30,NO,NO,YES
OCC,45-75,0,25-34,BA,F,1,NO,NO,NO
ATT,<7.5,2,18-24,HS,U,26,YES,NO,NO
OCC,,0,45-54,HS,P,0,NO,NO,NO
OCC,,0,65+,<HS,D,0,YES,NO,NO
OCC,<7.5,0,45-54,HS,F,60,NO,NO,NO
OCC,15-25,0,35-44,Coll,P,5,NO,NO,NO
OCC,,0,,BA,U,4,NO,NO,NO
ATT,>75,0,,HS,R,14,NO,NO,NO
OCC,<7.5,0,65+,<HS,R,55,NO,NO,NO
OCC,,1,55-64,<HS,H,1,YES,NO,NO
ATT,7.5-15,1,25-34,Coll,H,16,YES,NO,NO
OCC,,0,65+,HS,H,2,NO,NO,NO
OCC,45-75,0,25-34,Coll,F,0,NO,NO,NO
OCC,,0,18-24,HS,F,2,NO,,
ATT,45-75,0,35-44,Voc,F,29,NO,NO,YES
ATT,15-25,0,45-54,BA,R,6,NO,NO,NO
ATT,25-35,0,25-34,HS,F,2,NO,NO,NO
ATT,25-35,1,35-44,HS,P,0,NO,NO,YES
OCC,15-25,0,45-54,Coll,F,30,NO,NO,NO
OCC,>75,0,55-64,Voc,P,6,NO,NO,NO
OCC,,0,65+,<HS,R,0,NO,NO,YES
OCC,25-35,0,35-44,BA,F,61,NO,NO,NO
OCC,15-25,0,65+,HS,R,0,NO,NO,NO
ATT,45-75,0,35-44,BA,F,0,NO,NO,NO
OCC,45-75,0,45-54,BA,F,8,NO,NO,NO
ATT,35-45,0,65+,HS,R,1,NO,NO,NO
OCC,<7.5,0,65+,<HS,R,0,NO,NO,NO
OCC,7.5-15,0,65+,<HS,H,3,NO,NO,NO
OCC,15-25,1,18-24,BA,F,19,NO,,
OCC,25-35,0,25-34,BA,F,15,NO,NO,NO
OCC,25-35,0,35-44,HS,F,4,NO,NO,NO
OCC,<7.5,0,55-64,<HS,H,0,YES,NO,NO
OCC,,0,65+,<HS,R,0,NO,NO,NO
OCC,,0,45-54,HS,F,37,NO,NO,YES
ATT,25-35,2,18-24,Coll,H,37,NO,NO,NO
OCC,,0,35-44,Coll,F,18,NO,NO,YES
OCC,15-25,0,45-54,HS,F,10,NO,NO,NO
OCC,15-25,0,65+,Coll,R,0,NO,NO,NO
OCC,,0,55-64,HS,R,0,NO,NO,NO
OCC,,0,45-54,HS,D,0,YES,NO,NO
ATT,25-35,0,35-44,>BA,F,49,NO,NO,YES
OCC,25-35,1,25-34,HS,F,0,NO,NO,NO
ATT,25-35,0,55-64,HS,F,1,NO,NO,NO
OCC,15-25,1,55-64,HS,S,7,YES,NO,NO
OCC,7.5-15,0,65+,HS,R,18,NO,NO,YES
OCC,25-35,0,25-34,Coll,F,1,NO,NO,NO
OCC,<7.5,0,65+,BA,R,1,NO,NO,NO
ATT,25-35,0,55-64,Coll,P,4,YES,NO,NO
ATT,7.5-15,0,65+,<HS,H,3,NO,NO,YES
ATT,,0,45-54,HS,U,0,NO,NO,NO
OCC,<7.5,0,65+,<HS,R,0,NO,NO,NO
OCC,<7.5,0,65+,<HS,R,1,NO,NO,YES
ATT,>75,1,25-34,BA,F,1,NO,NO,NO
OCC,<7.5,1,35-44,<HS,U,5,NO,NO,NO
ATT,7.5-15,1,25-34,HS,F,7,NO,NO,NO
OCC,15-25,0,35-44,Coll,F,5,NO,NO,NO
ATT,35-45,1,25-34,BA,F,0,YES,NO,NO
ATT,15-25,0,35-44,HS,F,3,NO,NO,YES
OCC,,3,55-64,<HS,D,0,NO,NO,NO
OCC,25-35,0,35-44,HS,F,1,NO,NO,NO
OCC,25-35,2,25-34,HS,F,1,NO,NO,YES
OCC,7.5-15,0,55-64,<HS,H,3,NO,NO,NO
OCC,7.5-15,0,55-64,<HS,R,1,NO,NO,NO
ATT,25-35,>10,35-44,<HS,F,0,,NO,NO
ATT,35-45,4,18-24,BA,F,19,NO,NO,NO
ATT,15-25,3,25-34,Coll,F,0,NO,NO,NO
OCC,,0,25-34,BA,F,5,YES,NO,NO
ATT,25-35,5,25-34,BA,F,9,NO,NO,NO
OCC,45-75,0,45-54,Voc,F,3,NO,NO,NO
OCC,15-25,1,25-34,BA,F,0,NO,NO,NO
ATT,25-35,>10,25-34,BA,F,19,NO,NO,NO
OCC,25-35,0,55-64,Coll,F,13,NO,NO,NO
OCC,25-35,0,25-34,HS,F,11,NO,NO,NO
OCC,<7.5,1,65+,Voc,P,0,NO,NO,NO
OCC,,1,35-44,BA,F,11,NO,NO,YES
OCC,<7.5,1,25-34,HS,F,12,NO,NO,NO
ATT,<7.5,0,55-64,<HS,F,0,YES,NO,NO
OCC,25-35,0,35-44,Coll,F,1,NO,NO,NO
OCC,45-75,0,45-54,Coll,F,6,YES,NO,NO
OCC,15-25,0,45-54,Voc,F,1,NO,NO,NO
OCC,<7.5,0,35-44,Coll,F,26,YES,NO,NO
OCC,35-45,0,45-54,Coll,F,2,NO,NO,NO
OCC,15-25,0,55-64,<HS,R,0,NO,NO,NO
ATT,,1,18-24,HS,F,5,NO,NO,NO
ATT,7.5-15,3,18-24,Voc,F,0,NO,NO,NO
OCC,15-25,0,55-64,HS,R,2,NO,NO,NO
ATT,25-35,0,25-34,HS,F,0,YES,NO,NO
ATT,<7.5,1,35-44,Coll,F,5,NO,NO,NO
OCC,15-25,1,55-64,HS,F,5,NO,NO,NO
OCC,15-25,1,35-44,HS,F,3,YES,NO,NO
OCC,15-25,0,65+,<HS,P,1,NO,NO,NO
OCC,25-35,2,55-64,Voc,F,52,NO,NO,NO
OCC,35-45,0,35-44,HS,F,0,NO,NO,NO
OCC,45-75,0,25-34,BA,F,11,NO,NO,YES
OCC,25-35,0,55-64,<HS,R,3,NO,NO,NO
ATT,,0,55-64,<HS,D,40,YES,NO,NO
OCC,,0,65+,HS,R,0,NO,NO,NO
ATT,7.5-15,0,35-44,HS,H,0,NO,NO,YES
ATT,<7.5,0,45-54,Coll,F,1,NO,NO,NO
OCC,>75,0,35-44,BA,F,0,NO,NO,YES
OCC,7.5-15,2,18-24,Coll,S,1,NO,NO,YES
OCC,,0,65+,HS,R,1,NO,NO,NO
ATT,15-25,2,35-44,Coll,F,0,YES,NO,NO
OCC,7.5-15,0,55-64,HS,R,0,NO,NO,NO
ATT,25-35,0,45-54,<HS,R,3,YES,NO,NO
ATT,7.5-15,3,35-44,Coll,F,0,NO,NO,NO
OCC,35-45,0,35-44,BA,F,7,NO,NO,NO
OCC,,0,35-44,Coll,F,0,NO,NO,NO
ATT,15-25,0,35-44,HS,U,0,YES,NO,NO
OCC,25-35,0,35-44,Coll,F,7,NO,NO,YES
OCC,25-35,1,25-34,BA,F,5,NO,NO,NO
OCC,,,65+,,F,20,NO,NO,NO
OCC,35-45,1,65+,Coll,R,4,NO,NO,NO
OCC,15-25,0,45-54,<HS,F,3,NO,NO,YES
OCC,25-35,0,55-64,>BA,F,89,NO,NO,YES
OCC,<7.5,0,25-34,<HS,P,0,NO,YES,NO
ATT,>75,0,55-64,BA,F,1,NO,NO,YES
ATT,,1,55-64,,,8,NO,NO,YES
OCC,15-25,0,35-44,Coll,H,0,YES,NO,NO
OCC,25-35,1,25-34,HS,F,1,YES,NO,YES
ATT,7.5-15,2,25-34,Coll,S,2,NO,NO,NO
ATT,,2,45-54,,U,3,NO,NO,NO
OCC,25-35,0,35-44,Coll,F,12,YES,NO,NO
OCC,7.5-15,0,65+,Coll,R,0,NO,NO,NO
OCC,35-45,0,45-54,Voc,F,5,NO,NO,NO
OCC,35-45,0,45-54,>BA,F,2,NO,NO,NO
ATT,15-25,0,45-54,HS,R,10,NO,NO,NO
ATT,7.5-15,0,35-44,HS,U,4,YES,NO,YES
ATT,,0,45-54,>BA,F,34,NO,YES,YES
OCC,<7.5,0,65+,Coll,R,0,NO,NO,NO
ATT,<7.5,0,35-44,Coll,F,30,YES,NO,YES
OCC,15-25,0,35-44,BA,F,2,NO,NO,YES
ATT,,0,45-54,Coll,F,16,NO,NO,YES
OCC,7.5-15,0,65+,HS,R,1,NO,NO,NO
ATT,,1,25-34,Coll,F,0,YES,NO,NO
OCC,45-75,0,35-44,Coll,P,4,NO,NO,YES
ATT,15-25,0,25-34,HS,F,0,YES,NO,NO
ATT,25-35,0,55-64,Voc,F,3,NO,NO,NO
OCC,,0,55-64,HS,P,1,NO,NO,YES
OCC,15-25,2,18-24,HS,F,0,NO,NO,NO
OCC,15-25,0,25-34,HS,F,8,NO,NO,NO
ATT,15-25,0,45-54,HS,F,4,NO,NO,YES
ATT,35-45,0,45-54,Coll,F,1,NO,NO,NO
OCC,25-35,1,35-44,HS,P,4,NO,NO,YES
ATT,25-35,3,18-24,Coll,F,7,NO,NO,NO
ATT,,0,35-44,HS,F,0,NO,NO,YES
ATT,15-25,0,45-54,HS,F,17,YES,NO,NO
OCC,,0,65+,<HS,H,6,NO,NO,NO
ATT,35-45,2,45-54,HS,F,4,YES,NO,YES
OCC,35-45,3,25-34,HS,F,54,YES,NO,NO
OCC,<7.5,0,65+,Coll,R,1,NO,NO,NO
OCC,<7.5,0,55-64,HS,R,0,NO,NO,NO
ATT,15-25,1,55-64,HS,R,3,YES,NO,YES
ATT,15-25,1,35-44,Coll,F,0,NO,NO,YES
OCC,25-35,0,45-54,HS,F,19,NO,NO,NO
ATT,15-25,1,18-24,HS,F,21,YES,NO,YES
ATT,<7.5,1,25-34,HS,F,0,YES,NO,NO
ATT,15-25,1,45-54,<HS,F,4,NO,NO,NO
ATT,,0,35-44,Coll,F,6,NO,NO,NO
ATT,,0,35-44,HS,P,12,YES,NO,NO
ATT,,0,65+,Coll,R,11,NO,NO,NO
OCC,25-35,0,45-54,HS,F,2,YES,NO,NO
ATT,<7.5,1,25-34,HS,P,0,YES,NO,NO
ATT,45-75,2,35-44,BA,F,42,NO,NO,YES
ATT,15-25,3,65+,<HS,R,10,NO,NO,NO
OCC,25-35,0,55-64,Voc,F,0,NO,NO,NO
OCC,<7.5,2,65+,<HS,R,5,NO,NO,YES
OCC,,0,,Coll,R,16,NO,NO,NO
ATT,25-35,0,35-44,HS,F,5,NO,NO,NO
ATT,15-25,0,18-24,Voc,F,3,NO,NO,NO
ATT,15-25,2,25-34,HS,F,1,NO,NO,NO
OCC,,0,,<HS,H,2,NO,NO,NO
OCC,,0,65+,HS,R,1,NO,NO,NO
OCC,7.5-15,0,55-64,HS,F,0,NO,NO,NO
OCC,35-45,0,18-24,HS,F,11,NO,NO,NO
OCC,,1,65+,<HS,R,0,NO,NO,NO
OCC,,1,65+,Voc,F,0,NO,NO,NO
OCC,,1,,,,3,NO,NO,YES
OCC,,1,25-34,HS,F,0,YES,NO,NO
OCC,7.5-15,0,65+,Coll,R,8,NO,NO,YES
OCC,35-45,0,35-44,>BA,F,13,NO,NO,NO
ATT,,0,65+,BA,R,2,NO,NO,YES
OCC,25-35,2,25-34,BA,F,1,NO,NO,YES
ATT,25-35,0,25-34,HS,F,1,NO,NO,NO
ATT,25-35,0,55-64,Coll,H,2,NO,NO,NO
OCC,25-35,2,35-44,HS,P,27,NO,NO,YES
ATT,25-35,1,25-34,<HS,U,0,YES,NO,NO
ATT,25-35,1,35-44,HS,F,3,NO,NO,YES
ATT,<7.5,4,25-34,HS,U,46,YES,NO,NO
ATT,<7.5,0,35-44,Coll,R,1,NO,NO,NO
OCC,<7.5,0,65+,HS,R,0,NO,NO,YES
OCC,,0,45-54,<HS,R,2,NO,NO,NO
ATT,,0,65+,<HS,R,0,NO,NO,NO
ATT,,2,55-64,<HS,D,0,YES,NO,NO
ATT,25-35,0,65+,Coll,R,0,NO,NO,NO
ATT,25-35,0,25-34,HS,F,1,NO,NO,YES
OCC,7.5-15,1,25-34,HS,F,2,YES,NO,NO
OCC,15-25,2,25-34,HS,F,0,NO,NO,YES
ATT,,1,45-54,HS,F,5,NO,NO,NO
OCC,7.5-15,0,65+,HS,R,0,NO,NO,NO
OCC,15-25,1,25-34,HS,F,9,YES,NO,NO
OCC,,0,55-64,<HS,R,7,NO,NO,NO
OCC,<7.5,1,55-64,<HS,R,8,NO,NO,NO
ATT,15-25,1,25-34,Coll,F,0,NO,NO,NO
ATT,35-45,1,25-34,BA,F,7,YES,NO,YES
ATT,7.5-15,0,25-34,HS,F,6,NO,NO,NO
ATT,35-45,0,45-54,Voc,F,1,NO,NO,NO
OCC,7.5-15,0,25-34,HS,F,1,NO,NO,NO
OCC,25-35,1,25-34,HS,F,1,YES,NO,NO
OCC,15-25,0,45-54,Coll,P,6,NO,NO,NO
OCC,,0,65+,<HS,R,1,NO,NO,NO
OCC,15-25,0,65+,Voc,R,8,NO,NO,NO
OCC,7.5-15,0,35-44,Voc,P,24,NO,YES,NO
OCC,<7.5,0,65+,HS,R,0,NO,NO,NO
OCC,7.5-15,0,45-54,<HS,F,21,NO,NO,NO
ATT,25-35,0,25-34,HS,F,9,YES,NO,NO
OCC,,,,,,0,NO,NO,NO
OCC,<7.5,0,65+,<HS,R,0,NO,NO,NO
OCC,<7.5,0,55-64,Voc,R,0,NO,NO,YES
OCC,15-25,0,55-64,BA,F,0,NO,NO,NO
OCC,45-75,0,35-44,<HS,F,0,YES,NO,NO
OCC,,2,25-34,Coll,H,2,NO,NO,NO
OCC,15-25,0,35-44,HS,F,0,NO,NO,NO
ATT,7.5-15,0,35-44,HS,P,2,NO,NO,NO
OCC,7.5-15,0,65+,<HS,R,1,NO,NO,NO
OCC,,0,65+,HS,R,3,NO,NO,NO
OCC,25-35,1,25-34,HS,F,0,YES,NO,NO
ATT,25-35,1,25-34,HS,F,14,YES,NO,NO
ATT,15-25,1,18-24,BA,F,12,YES,NO,NO
OCC,25-35,0,35-44,HS,F,1,NO,NO,NO
OCC,7.5-15,1,25-34,<HS,F,20,NO,,
OCC,7.5-15,1,45-54,HS,F,1,NO,NO,NO
ATT,7.5-15,2,18-24,<HS,S,3,YES,NO,NO
OCC,25-35,1,25-34,HS,P,4,NO,NO,YES
OCC,,0,,HS,H,15,NO,NO,NO
ATT,7.5-15,1,18-24,<HS,P,42,YES,NO,NO
OCC,15-25,0,18-24,HS,H,35,NO,NO,YES
OCC,7.5-15,0,55-64,<HS,F,0,NO,NO,NO
OCC,,0,65+,<HS,P,1,NO,NO,NO
ATT,15-25,1,25-34,BA,F,0,YES,NO,NO
ATT,25-35,0,35-44,Coll,F,31,NO,NO,NO
ATT,45-75,0,35-44,Coll,F,25,NO,NO,NO
OCC,,0,35-44,Coll,F,40,YES,NO,YES
OCC,15-25,0,35-44,HS,F,1,YES,,
OCC,15-25,0,55-64,>BA,R,85,NO,NO,NO
ATT,15-25,1,25-34,Voc,F,2,YES,NO,YES
ATT,45-75,0,35-44,Coll,F,55,NO,NO,YES
OCC,15-25,0,65+,HS,R,51,NO,NO,YES
ATT,15-25,0,65+,Coll,R,4,NO,NO,YES
ATT,,0,35-44,HS,F,12,YES,NO,NO
OCC,7.5-15,0,55-64,HS,F,0,NO,NO,NO
OCC,35-45,0,35-44,HS,F,3,NO,NO,NO
OCC,15-25,0,65+,HS,R,2,NO,NO,NO
OCC,15-25,5,25-34,BA,F,0,NO,NO,NO
OCC,7.5-15,0,25-34,HS,F,5,YES,NO,NO
OCC,45-75,0,45-54,>BA,F,191,NO,YES,YES
ATT,15-25,0,35-44,HS,F,0,YES,NO,NO
OCC,7.5-15,0,55-64,<HS,R,6,YES,NO,NO
ATT,35-45,3,35-44,BA,F,39,NO,NO,YES
OCC,35-45,0,35-44,>BA,F,23,NO,NO,YES
OCC,,0,55-64,Coll,P,4,NO,NO,NO
ATT,7.5-15,0,18-24,Coll,F,5,YES,NO,NO
ATT,7.5-15,0,55-64,<HS,F,0,YES,NO,NO
ATT,<7.5,0,65+,<HS,R,0,YES,NO,NO
ATT,15-25,2,25-34,HS,F,22,NO,NO,YES
ATT,,1,25-34,HS,F,14,YES,NO,NO
ATT,,,,,,9,NO,NO,NO
OCC,,,,,,17,NO,NO,NO
OCC,,0,,,,1,NO,NO,YES
OCC,,1,65+,HS,R,9,NO,NO,NO
OCC,25-35,3,25-34,HS,F,18,NO,NO,NO
ATT,15-25,1,25-34,Voc,F,0,NO,NO,NO
ATT,45-75,2,35-44,HS,F,2,YES,NO,NO
OCC,25-35,1,25-34,HS,F,1,YES,NO,NO
ATT,35-45,0,25-34,>BA,F,2,NO,NO,YES
ATT,15-25,1,25-34,<HS,F,28,NO,NO,YES
OCC,35-45,1,35-44,HS,H,2,NO,NO,NO
ATT,15-25,1,35-44,HS,F,23,NO,NO,NO
ATT,25-35,0,18-24,HS,F,1,NO,NO,NO
ATT,<7.5,2,25-34,<HS,P,6,NO,NO,NO
ATT,25-35,2,35-44,<HS,U,3,YES,NO,NO
OCC,25-35,0,25-34,HS,F,8,NO,,
ATT,15-25,1,35-44,HS,F,5,NO,NO,NO
OCC,7.5-15,2,35-44,HS,F,2,NO,NO,NO
ATT,15-25,0,25-34,HS,F,10,NO,NO,NO
ATT,,1,25-34,HS,F,1,NO,NO,NO
ATT,15-25,2,25-34,HS,F,23,YES,NO,NO
ATT,15-25,0,25-34,HS,F,7,NO,NO,YES
ATT,15-25,0,25-34,BA,F,2,YES,NO,NO
ATT,25-35,0,25-34,HS,F,2,NO,NO,YES
ATT,35-45,0,35-44,HS,F,17,NO,NO,NO
ATT,25-35,1,18-24,HS,F,93,NO,NO,NO
ATT,<7.5,0,35-44,HS,F,9,NO,NO,NO
ATT,25-35,1,18-24,>BA,F,1,NO,NO,YES
ATT,15-25,4,25-34,HS,F,6,NO,NO,NO
ATT,7.5-15,1,35-44,HS,H,21,YES,NO,NO
OCC,25-35,3,25-34,HS,F,10,NO,NO,NO
OCC,,2,35-44,HS,F,3,NO,NO,NO
ATT,7.5-15,1,25-34,HS,F,0,NO,NO,NO
OCC,,0,45-54,<HS,F,3,NO,NO,NO
OCC,35-45,1,45-54,Coll,H,7,NO,NO,NO
OCC,7.5-15,2,25-34,Coll,P,58,NO,NO,YES
ATT,<7.5,2,25-34,HS,U,3,YES,NO,NO
ATT,,0,65+,>BA,R,64,NO,YES,YES
ATT,7.5-15,0,45-54,HS,F,1,NO,NO,NO
OCC,,0,55-64,HS,H,51,NO,NO,YES
ATT,25-35,0,65+,HS,F,6,NO,NO,NO
ATT,15-25,4,35-44,Coll,U,13,YES,NO,NO
ATT,,0,65+,>BA,R,2,NO,NO,YES
OCC,7.5-15,0,,HS,R,6,NO,NO,NO
OCC,7.5-15,0,65+,<HS,R,5,NO,NO,NO
OCC,25-35,0,45-54,<HS,F,6,NO,NO,NO
OCC,<7.5,1,25-34,Coll,F,6,NO,NO,NO
ATT,7.5-15,0,45-54,<HS,F,70,NO,NO,NO
OCC,,0,65+,Coll,F,1,NO,NO,NO
ATT,15-25,0,45-54,Coll,F,14,NO,NO,YES
OCC,7.5-15,0,45-54,HS,F,5,YES,NO,YES
ATT,45-75,0,45-54,,P,56,NO,YES,YES
ATT,7.5-15,0,55-64,HS,R,20,NO,YES,NO
OCC,15-25,0,25-34,HS,F,2,NO,,
OCC,25-35,2,35-44,HS,F,0,NO,NO,NO
ATT,,0,55-64,<HS,R,2,NO,NO,NO
OCC,15-25,0,55-64,HS,R,1,NO,NO,NO
ATT,7.5-15,1,18-24,HS,F,20,NO,NO,NO
ATT,15-25,0,45-54,HS,F,1,YES,NO,NO
ATT,<7.5,1,65+,HS,H,7,NO,NO,NO
OCC,7.5-15,0,65+,>BA,R,2,NO,NO,YES
OCC,,0,45-54,BA,F,4,NO,NO,NO
ATT,15-25,0,55-64,Coll,P,19,NO,NO,YES
ATT,25-35,0,25-34,Coll,P,46,NO,NO,YES
ATT,15-25,1,25-34,Coll,F,0,NO,NO,NO
ATT,,0,65+,Coll,R,23,NO,NO,YES
ATT,35-45,0,18-24,HS,F,27,YES,NO,YES
OCC,7.5-15,0,55-64,Voc,F,0,NO,NO,NO
ATT,15-25,0,45-54,Voc,F,23,NO,YES,YES
OCC,25-35,1,25-34,>BA,F,15,NO,NO,NO
ATT,45-75,7,35-44,Voc,F,49,NO,NO,NO
OCC,,0,65+,Coll,F,0,NO,NO,NO
OCC,<7.5,0,65+,<HS,R,0,NO,NO,NO
OCC,45-75,0,25-34,Coll,P,42,NO,NO,YES
OCC,7.5-15,2,35-44,HS,F,0,NO,NO,YES
OCC,<7.5,1,65+,<HS,F,0,NO,NO,NO
ATT,7.5-15,0,55-64,HS,H,0,NO,NO,NO
OCC,,0,55-64,,,1,NO,NO,YES
OCC,25-35,0,35-44,Coll,F,0,YES,NO,NO
OCC,25-35,0,35-44,HS,H,18,NO,NO,NO
ATT,15-25,0,35-44,>BA,F,93,NO,YES,NO
OCC,15-25,0,35-44,<HS,H,0,NO,NO,NO
ATT,15-25,2,35-44,Coll,S,24,NO,NO,NO
ATT,15-25,0,45-54,<HS,F,32,NO,NO,YES
ATT,<7.5,1,35-44,HS,P,0,NO,NO,NO
OCC,45-75,0,55-64,BA,F,26,NO,NO,NO
ATT,35-45,0,55-64,HS,R,39,NO,NO,YES
OCC,,0,45-54,HS,F,36,NO,YES,NO
OCC,,2,65+,<HS,R,12,NO,NO,NO
ATT,7.5-15,1,35-44,Voc,F,0,YES,NO,NO
ATT,<7.5,0,55-64,HS,P,12,NO,NO,YES
ATT,<7.5,0,55-64,Coll,P,168,NO,NO,YES
OCC,7.5-15,1,25-34,Coll,F,6,NO,NO,NO
ATT,,0,65+,<HS,R,17,NO,NO,YES
OCC,<7.5,0,65+,<HS,R,1,YES,NO,NO
ATT,15-25,0,25-34,Coll,F,18,NO,NO,NO
ATT,25-35,0,55-64,BA,R,27,NO,NO,YES
OCC,35-45,0,45-54,HS,F,24,NO,NO,NO
